Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151
BC1_1 - Adapter 1	4875732	1816395	772089	437369	383059	342792	306292	306154	284632	269164	249862	236923	213100	198156	181522	164160	154778	140292	116493	112053	100897	87426	81494	73312	63396	54139	50703	44013	40017	37038	30725	28488	25979	23881	20302	19209	17475	15967	14179	12914	12717	11144	10099	9765	9402	8067	12843	1676	5082	6091	6199	3789	4879	4473	3844	3529	4578	3133	3053	3232	3110	1485	1142	3394	1550	1449	1089	3509	1170	1588	718	341	163	385	770	835	815	732	752	626	585	511	494	534	477	405	451	378	339	287	273	253	216	215	194	170	166	149	172	120	105	101	85	80	32	57	36	29	53	28	33	47	36	33	26	35	44	33	19	38	20	16	8	22	13	29	33	20	16	10	34	40	28	14	27	35	24	15	26	13	15	31	15	7	13	25	24	73	5	12	2440
BC1_2 - Adapter 1	5468619	2057028	892008	457478	386450	344109	306721	327122	259906	275357	238365	237863	213179	210876	159078	165331	161299	118747	124993	120347	85292	87960	79950	73035	66217	53993	45984	45697	36469	35543	32242	27150	26315	23103	21899	19574	19163	15356	15975	9691	11937	9217	10230	13074	5409	12729	9747	3110	16458	1546	4396	1094	2307	946	3959	5882	1157	3283	9835	1485	899	5414	930	616	4517	3167	443	817	446	294	556	667	318	274	274	304	287	525	577	530	554	504	443	501	458	384	396	382	351	304	265	285	228	215	199	164	196	154	188	131	124	134	65	69	48	46	48	42	42	40	46	34	56	45	46	62	38	58	37	22	39	28	54	57	29	50	20	34	11	77	23	64	40	22	28	25	24	48	17	47	9	27	31	62	32	33	13	80	23	29	19
BC2_1 - Adapter 1	5190163	1878044	771492	432928	382885	340665	301024	299613	273960	260589	242636	227855	203123	194043	176744	160724	151319	135076	112299	106564	95970	83534	78306	68624	61984	52855	49971	43524	38774	35615	29196	27989	25318	23806	20307	19331	17257	15512	14786	13582	12356	11514	10558	10381	10344	8316	14209	1793	4874	7797	6702	2966	5573	5304	3863	3856	6367	3921	3253	3169	4005	1124	1081	4191	1499	1257	1175	4291	837	1426	962	515	149	336	915	955	993	911	856	763	714	629	559	522	484	466	518	427	449	366	349	325	249	229	179	167	164	166	128	156	123	119	110	62	82	40	44	41	69	56	53	50	46	41	30	21	58	46	12	38	37	24	22	22	26	24	39	9	16	18	12	18	18	28	11	24	24	18	18	13	11	22	11	28	19	56	13	59	26	76	31501
BC2_2 - Adapter 1	5953285	2207336	935761	455651	383577	340972	302267	319467	249218	258808	236492	226519	204536	203442	157314	156008	174082	95547	133770	99932	78666	83183	75540	69096	65644	51100	44131	46157	33194	36682	27141	27703	24233	21813	21008	18984	16686	15620	14262	13089	12332	12197	9811	11324	7695	9997	9179	6145	16094	2384	5634	1883	3281	1787	4400	6401	1412	3792	12061	1712	813	6263	808	595	4562	3316	461	900	580	470	709	880	454	441	471	347	382	602	692	651	622	586	514	491	492	421	480	455	453	341	341	338	239	236	168	179	165	194	183	142	131	159	113	63	101	57	54	56	60	47	85	62	61	68	62	50	38	68	47	27	56	38	75	73	31	51	21	18	21	49	29	44	44	25	42	30	58	26	21	59	16	29	6	65	36	39	13	74	21	48	21
BC3_1 - Adapter 1	5580827	1891763	766381	412432	358600	313567	277348	275834	257569	240977	223189	210019	186663	177773	161064	145921	137819	124602	105930	101353	91579	79852	74252	66642	58896	50884	47039	41354	39078	35180	29562	29511	24500	23709	21991	20233	17152	15800	15732	13932	13843	12099	12610	10823	10768	9722	15902	2081	5941	8417	8156	4341	6832	6464	5142	5161	7430	4851	4624	4701	5333	1907	1629	6215	2587	2184	1810	6837	1712	2692	1406	720	253	631	1601	1717	1688	1656	1617	1530	1393	1277	1143	1093	1074	1100	1074	994	910	914	704	704	627	533	512	509	482	454	419	400	343	265	238	191	175	153	132	125	129	121	128	100	94	68	67	56	66	62	56	56	32	24	26	25	37	39	33	20	24	23	20	28	34	30	17	32	26	17	10	12	16	41	8	44	22	52	10	63	12	16	6587
BC3_2 - Adapter 1	6308453	2368094	959049	437629	354809	312469	280590	305872	221307	254318	212334	214520	189091	191974	142704	144137	155108	96046	127156	96743	77332	80996	73414	66123	62166	50225	44105	43905	35166	34217	30683	27949	25785	24892	20135	20172	17783	18990	15051	14749	17907	12342	8378	18465	5260	21931	11329	3931	13456	1878	5418	1649	2540	1469	5406	8190	2040	4777	11566	2628	2086	8459	2357	1101	7409	8933	1367	1848	1228	543	905	1345	497	514	559	553	620	918	1213	1306	1261	1192	1051	1024	1059	1052	986	935	895	849	690	716	606	531	509	482	483	453	434	387	350	295	237	178	169	174	132	139	122	118	165	119	92	75	79	57	51	72	65	44	58	38	59	41	33	22	25	18	22	54	24	21	48	38	10	33	32	49	19	37	18	35	8	42	17	30	12	71	22	30	21
BC4_1 - Adapter 1	5519134	1796554	709456	377223	335582	288531	255155	251077	234174	218509	201273	189765	168127	159263	142632	129795	122448	110661	94484	142287	20350	68862	62756	56622	50115	43084	40198	35523	32481	29281	24772	23801	20879	20069	17550	15508	14543	12782	12846	11160	11531	9308	9260	8652	8710	7135	11846	1601	4127	6447	5963	3168	4792	4524	3566	3387	4698	2951	2805	2725	3530	1283	1155	3687	1589	1324	938	3796	996	1426	672	338	152	341	785	860	958	787	740	677	634	539	546	556	461	517	526	424	367	354	302	278	249	245	211	176	178	183	198	170	140	119	99	68	48	51	46	64	59	59	50	52	21	34	28	40	28	18	25	11	19	11	22	41	16	11	38	21	17	14	38	12	26	24	14	26	26	9	10	19	6	32	15	8	8	35	13	58	24	47	8753
BC4_2 - Adapter 1	6326988	2363282	935873	400221	326705	286321	258166	270393	211996	225866	200716	192751	173690	167454	130395	128591	145867	76531	111906	83158	66051	69783	62599	55812	52718	43884	37045	36981	30083	29670	24863	23472	21024	22518	17484	17209	10225	13456	16148	13386	7902	15000	3816	15185	3538	23082	5965	2360	7732	1478	3479	1518	1813	1225	3669	5079	1686	3117	5828	1824	1705	4508	1843	782	3594	5319	1300	1153	985	356	519	616	242	240	255	272	294	384	529	562	548	508	528	520	460	489	486	431	377	353	284	307	243	220	214	179	187	203	210	167	151	151	99	73	62	65	59	75	74	85	57	58	36	48	48	45	24	26	31	22	37	15	37	44	25	47	26	34	14	57	36	24	29	15	17	26	18	20	18	29	16	27	8	61	25	22	20	59	25	24	22
BC5_1 - Adapter 1	4933307	1562424	668242	396875	371684	324144	291432	287928	273561	257703	237412	225832	203039	192440	175610	160990	152277	139172	115815	113177	102948	90721	84274	75286	68632	59211	55770	51182	45744	41916	36259	34296	30626	29265	26491	25088	22047	20469	20412	17635	18881	16406	15516	14871	14827	12720	21584	2597	8338	15038	11338	3997	10512	9215	5281	6629	14841	7257	4860	4490	7265	1206	1262	7833	1966	1495	1871	7252	958	2141	1373	808	198	611	1640	1959	1749	1836	1733	1448	1395	1254	1275	1069	1053	1035	959	992	893	754	647	522	488	492	414	387	348	281	274	281	255	185	165	107	95	82	78	81	90	78	73	64	42	34	23	20	27	14	7	33	9	12	4	8	14	21	15	21	5	8	9	15	7	8	2	28	5	20	13	9	3	12	6	1	1	47	19	10	4	16	1457
BC5_2 - Adapter 1	5765334	2230265	954719	411063	358595	319691	294859	319111	239165	273297	233451	233851	206528	208655	156743	158220	180271	98416	139262	108274	89734	92174	83649	73719	71999	58924	53608	52769	42645	40835	38025	34427	29771	29134	26464	25544	26631	20913	21626	13291	18102	30028	3786	23065	6322	38890	8960	3129	17339	3210	5046	4328	3795	3081	7144	9642	3550	6179	11259	3915	3408	8171	4002	1916	7978	10231	2798	2591	2845	971	1448	1728	671	502	513	613	683	1189	1439	1277	1255	1178	1187	1013	1005	1010	896	974	900	722	627	493	497	484	435	391	324	296	271	266	258	197	168	104	105	97	92	100	90	92	87	57	30	42	70	14	23	58	65	34	32	30	33	40	11	14	5	15	11	34	18	35	49	10	2	20	12	44	4	15	15	19	20	72	33	33	19	41	19	25	1
