Sample	Unique Reads	Duplicate Reads
BC1_1	6273298.0	22262084.0
BC1_2	6603577.0	21931805.0
BC2_1	6298594.0	23986374.0
BC2_2	7063235.0	23221733.0
BC3_1	7730685.0	23493191.0
BC3_2	7852712.0	23371164.0
BC4_1	6151295.0	24356716.0
BC4_2	6695190.0	23812821.0
BC5_1	2941635.0	25959269.0
BC5_2	3336910.0	25563994.0
BH1_1	5735734.0	17796275.0
BH1_2	5988288.0	17543721.0
BH2_1	6445941.0	29413704.0
BH2_2	6982072.0	28877573.0
BH3_1	7701322.0	26849367.0
BH3_2	7717998.0	26832691.0
BH4_1	6829992.0	22300995.0
BH4_2	6921747.0	22209240.0
BH5_1	5993837.0	28050248.0
BH5_2	6658423.0	27385662.0
BN1_1	8569405.0	25812422.0
BN1_2	8917845.0	25463982.0
BN2_1	7936647.0	30037233.0
BN2_2	8227693.0	29746187.0
BN3_1	4051249.0	25553168.0
BN3_2	4625916.0	24978501.0
BN5_1	7175919.0	23111691.0
BN5_2	7368550.0	22919060.0
MC1_1	6157657.0	22374190.0
MC1_2	6714314.0	21817533.0
MC2_1	6113253.0	24488931.0
MC2_2	6999902.0	23602282.0
MC3_1	5029308.0	20470247.0
MC3_2	5865381.0	19634174.0
MC4_1	3909258.0	30143594.0
MC4_2	5207992.0	28844860.0
MC5_1	7131046.0	30064380.0
MC5_2	7451831.0	29743595.0
MH1_1	4194823.0	26648490.0
MH1_2	5090120.0	25753193.0
MH2_1	6229754.0	25389820.0
MH2_2	6395849.0	25223725.0
MH3_1	7297937.0	31232401.0
MH3_2	7555494.0	30974844.0
MH4_1	7492665.0	26465780.0
MH4_2	8423525.0	25534920.0
MH5_1	7692106.0	17216395.0
MH5_2	8523793.0	16384708.0
MN1_1	9350025.0	37377245.0
MN1_2	9940761.0	36786509.0
MN2_1	7213554.0	24106307.0
MN2_2	7268841.0	24051020.0
MN3_1	7980817.0	25919403.0
MN3_2	8601091.0	25299129.0
MN4_1	7188467.0	17139062.0
MN4_2	7385720.0	16941809.0
MN5_1	6379039.0	27401081.0
MN5_2	7221927.0	26558193.0
OC1_1	5796160.0	29526844.0
OC1_2	7026366.0	28296638.0
OC2_1	6222870.0	27984964.0
OC2_2	6641260.0	27566574.0
OC3_1	9105437.0	19776657.0
OC3_2	9963565.0	18918529.0
OC4_1	4795712.0	34222744.0
OC4_2	5484607.0	33533849.0
OC5_1	8112631.0	25267675.0
OC5_2	8732154.0	24648152.0
OH1_1	8545809.0	29687778.0
OH1_2	9130331.0	29103256.0
OH2_1	7008101.0	23565939.0
OH2_2	7050983.0	23523057.0
OH3_1	8144519.0	32669077.0
OH3_2	8950020.0	31863576.0
OH4_1	7104394.0	23022197.0
OH4_2	7666083.0	22460508.0
OH5_1	5785498.0	29437888.0
OH5_2	6191134.0	29032252.0
ON1_1	6023830.0	26446061.0
ON1_2	6689648.0	25780243.0
ON2_1	5803868.0	23457786.0
ON2_2	6698291.0	22563363.0
ON3_1	6211838.0	26859306.0
ON3_2	7157539.0	25913605.0
ON4_1	9360343.0	41501941.0
ON4_2	9821382.0	41040902.0
ON5_1	7505886.0	33754118.0
ON5_2	8556245.0	32703759.0
WC1_1	5788169.0	28846757.0
WC1_2	6140060.0	28494866.0
WC2_1	5530519.0	17087629.0
WC2_2	5756329.0	16861819.0
WC3_1	6633588.0	28243841.0
WC3_2	6854966.0	28022463.0
WC4_1	7744632.0	31643267.0
WC4_2	8183334.0	31204565.0
WC5_1	8622302.0	44961956.0
WC5_2	9499084.0	44085174.0
WH1_1	7055914.0	21902210.0
WH1_2	7230574.0	21727550.0
WH2_1	8309465.0	30380139.0
WH2_2	8739996.0	29949608.0
WH3_1	7020152.0	20605405.0
WH3_2	7093391.0	20532166.0
WH4_1	5546815.0	24273056.0
WH4_2	5883702.0	23936169.0
WH5_1	6905929.0	34824790.0
WH5_2	7367287.0	34363432.0
WN1_1	7548276.0	37511350.0
WN1_2	8620814.0	36438812.0
WN2_1	5733210.0	29416800.0
WN2_2	6127141.0	29022869.0
WN3_1	7972135.0	34290788.0
WN3_2	8119349.0	34143574.0
WN4_1	8021238.0	31756267.0
WN4_2	9001778.0	30775727.0
WN5_1	8838501.0	47985277.0
WN5_2	9380353.0	47443425.0
