Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
BC1	2000.776683799994	2221.0879430886134	2350.4104716050733	2428.7255329657996	2481.7211038873556	2524.478292355181	2567.7716615239055	2618.29158613291	2652.6029579675746	2688.709683062453	2710.109759944191	2728.946657164914	2748.511882633154	2771.4491325456347	2797.806142188792	2820.9324462599375	2833.0511145810397	2845.3031948642665	2861.183532499756	2883.77820277487	2895.934005087758	2898.537300630551	2903.106648380149	2907.888296046721	2914.351009235183	2925.613920202244	2942.474705774818	2960.9751529370915	2965.6966146309114	2973.201177338695	2978.522776652891	2988.498637322791	2998.5379006597454	3009.145414566132	3001.8965031141192	3006.5349292978162	3015.8262694121745	3017.3139130421137	3024.437680404189	3030.721038507987	3030.964874602293	3046.9099253240283	3064.594971251506	3078.8216580463027	3087.3304830874195	3087.2758449325906	3101.6030072728945	3108.9399008430523	3121.5801319941274	3133.4389842772084	3143.9371405912084	3167.3947929034653	3187.3035477429776	3205.3107858379462	3218.508900383651	3223.1810416320914	3238.452740061206	3258.4717375851073	3275.4306765742963	3292.453592150423	3313.1775087101337	3335.0340149062704	3355.0995485762423	3369.6124268900867	3391.5915721626143	3427.269561541744	3454.104994282025	3468.773562143111	3476.652356089676	3489.8237858470843	3505.735918046493	3536.725550515974	3578.0416627046097	3607.849137107059	3638.7498791105654	3649.449666575354	3668.93833809235	3689.0679879716936	3702.830519919728	3722.208891005997	3743.4817795059703	3760.244214048234	3782.376898034245	3802.165853650682	3820.068701447706	3834.866320901894	3837.8307340135916	3831.4438102854183	3807.591930071924	3784.709013176782	3725.2389136776687	3635.285486250267	3500.3745198994625	3309.355481743849	3066.184330666113	2771.829164286317	2389.3312020169938	1848.8590933924575	1114.1732795040896	339.2244593131013
BC2	2066.4199431470183	2316.4861278918297	2461.62246313705	2545.4601051717787	2602.4270009997817	2651.9223751595405	2692.559119905547	2726.223239748731	2760.7507510542114	2790.0204502242927	2822.8655887460777	2845.1013023519185	2857.5759561491172	2867.574164810969	2876.263127552421	2894.953214495737	2900.9939935510397	2910.5522497945244	2936.197773137597	2963.8140407823935	2969.011651329115	2974.214149253334	2977.303220044781	2988.312893594293	3001.618110701829	3017.0197014394203	3039.3215766429844	3054.9428238711926	3056.2636247098912	3073.0494846242464	3085.1163857405013	3094.2068725317167	3088.1156808795304	3088.7073224387686	3096.21891988323	3117.709544240947	3127.1569810856217	3140.1578941129537	3161.3907169013273	3177.031769276203	3188.9053507404624	3193.9646957784557	3205.8138895506627	3221.26368146863	3241.708751624008	3245.696336680986	3261.372262954712	3282.7954219420253	3289.97119283082	3293.5105720150227	3298.02493544398	3312.1963553155683	3329.6915288942187	3361.4440392353044	3392.5182452613785	3417.4988429221657	3432.7169822764326	3439.0414147393994	3453.093694216158	3469.5473229395643	3486.489402019673	3506.7951171781115	3527.4482442039025	3541.7745298246714	3560.4778969868407	3578.5995740308304	3593.100199450095	3609.909352542427	3640.666171916462	3663.897177581811	3690.220925772392	3709.523269800082	3737.6857820036303	3778.861431059292	3807.812745413479	3833.713346530428	3860.4404477836256	3889.921512422868	3914.096762074391	3948.8135339933415	3985.4057332498114	4007.501505830971	4032.735987668657	4049.367940024377	4054.237308527931	4041.0263730510997	4027.5620052654303	4015.096158363835	4002.054986327277	3974.484793828603	3914.780518118172	3831.6972762153887	3717.66040816998	3556.2913458751073	3338.526887262112	3025.1331762493396	2589.9900071544675	1998.3745307211263	1207.1759648769569	368.6969244493972
BC3	2941.335756271001	3252.1852184007516	3423.588416835473	3522.8120952831628	3602.320514910951	3671.6228535201585	3749.803592047371	3821.7733711304727	3879.5211612708636	3920.415317959337	3948.821725719049	3974.0914990400133	4003.399363827076	4032.2770424002165	4067.567402050193	4109.606363604823	4148.895014427503	4165.501169676285	4177.349931241932	4201.988779513921	4222.973809901764	4250.391291814561	4261.046509864206	4283.142156839566	4294.202191499296	4319.764291472401	4354.600311001306	4367.7679135126045	4377.058264796135	4411.930204450496	4439.016299024382	4466.446218481205	4466.70060397693	4461.446538164195	4463.982912477111	4481.426883651119	4493.934833643791	4509.426453662729	4521.3371900601205	4524.552905907995	4542.314184880471	4565.770397872946	4585.859663619184	4603.1935152934275	4622.766804340048	4641.840410156353	4655.697831828281	4673.863068934357	4682.221143208018	4698.7017527971375	4710.746852943358	4730.283992878096	4756.953270340077	4774.000150487252	4788.175756966637	4798.1368236708495	4813.514896697739	4834.042014682224	4863.624000857038	4884.514660984629	4899.880481966482	4919.9926168707025	4945.868569642364	4963.610194585528	4986.966279186892	4998.606186423778	5014.876752854146	5041.687038459155	5073.7802521209005	5086.106099541476	5095.479642978222	5119.901994349065	5155.696191155572	5176.600537739517	5198.930344855084	5217.799656507629	5250.889734969149	5276.429701378664	5301.6256196419345	5311.573813312882	5320.940329599526	5333.380622132999	5355.802897259738	5385.117770296556	5400.539173998794	5404.658039774459	5421.195016351583	5414.371321032933	5375.615108105771	5295.719017823768	5195.560292652985	5069.635133548578	4919.965952157406	4714.474118907685	4424.348367250061	4051.8379297343577	3531.8022703781876	2774.247286356731	1684.411024741831	509.58693696693524
BC4	1920.2150194709307	2139.712761497119	2269.623813600559	2354.4763799866114	2418.355025366255	2465.3055868602055	2503.72244631282	2548.123260216484	2583.5126151707614	2614.7746522669004	2634.8260372930954	2665.44965533353	2693.6809129249928	2719.8448810566983	2744.3436816891826	2767.3658803051935	2794.4476426720566	2822.550137998977	2845.6060582835794	2865.714282176995	2879.745802010719	2895.8266933621626	2900.2117324965043	2917.096638810599	2919.7114495556675	2924.1459175589553	2940.059016929616	2964.4100972877122	2984.48687667081	3002.853529080595	3010.619614644012	3023.502883135986	3031.420005003877	3035.6806638002367	3049.007177026904	3075.3036542913624	3094.762583488448	3105.64093222374	3105.5382682585014	3107.423400910824	3112.917285739885	3124.3134560280123	3143.173041646699	3154.11126633784	3169.840338123185	3181.282379515287	3192.111723887054	3200.3924221353077	3215.5289495191196	3236.288354005751	3246.7749118450893	3261.7886935225647	3270.972612312928	3295.3238956074247	3322.1387935740922	3344.0664244583413	3365.8908169311358	3383.462496907458	3400.3661006172433	3410.855388251763	3424.714110201775	3444.641870984297	3471.819163267164	3497.8828731226163	3526.888562340866	3537.9268468161786	3557.2240553999814	3581.7052114347907	3601.875837415384	3619.137214492969	3641.403161378405	3670.6436229104065	3706.8909173884535	3737.9092189881294	3758.225444609777	3779.702899227456	3791.2835185797553	3800.8253288640353	3817.022467786489	3837.833813488017	3857.8771371088924	3877.9085896146225	3898.0727136168844	3914.8712929048293	3937.231639139922	3940.068599403034	3926.326788440579	3902.374796421864	3859.2172256228278	3800.304700110921	3727.49141574056	3649.2948882448936	3551.1590956985087	3399.270533219346	3184.863918355805	2908.40787249778	2510.307473572431	1943.9410342288418	1164.947169896316	356.41164632027875
BC5	362.8738953543415	408.0062437545391	434.03865151460786	450.62030120771925	466.46300807752795	478.0618464489997	491.93159531681755	503.78711342814626	515.5719259687821	526.7686594308483	535.5348297631912	544.5820748133235	547.6314542106005	548.0586048132003	554.2653703506453	559.332019489887	564.3213160104517	572.9911314751338	582.3738092684301	592.1441941344073	599.8717667702437	604.5083528987386	608.3495418301098	614.85594565632	621.4238026873185	628.7921753149966	634.0782828893306	642.5218052366171	651.7163279026181	661.0606366151153	666.1399084715965	675.8459239302003	688.138969522752	698.5991622904128	708.8545684412187	724.4292436019228	735.1558512973021	749.4762906676798	760.5922269825173	771.6818640663118	785.8847966268554	796.7506424167915	808.7651084201117	824.3219775020423	838.4344052396401	854.1441714072135	866.8068971932178	882.8523757842356	898.768396912299	911.3428679725431	926.3832013052903	944.1515640279082	961.9145321555379	976.9494535127028	993.0500653502185	1010.8321600752023	1029.815410256764	1051.947509785808	1070.279146640685	1091.8712825501354	1116.8909367794763	1146.4816345577435	1176.875560497454	1205.3103185939128	1233.982566703501	1257.9622272257957	1284.3116818855167	1319.051113867248	1352.5841369727548	1386.0552360227512	1420.6269846913142	1457.4776363368546	1499.2330618844048	1530.0847888050957	1567.0373524373315	1603.1014656361301	1639.2755533511215	1675.4255584659863	1716.010973128153	1749.5192785151257	1786.1719244330568	1830.6257167611423	1874.4052221477111	1911.9069737401467	1949.6263529808534	1984.498149714054	2008.3265023027054	2038.1633672877283	2055.266153833224	2068.7638720736486	2060.2723552787083	2045.7568028210012	2011.5418813898614	1933.2586163531803	1790.8855120431056	1605.263582109771	1355.58966332721	1029.302147200395	605.0734014561133	180.9727828496226
BH1	1966.684594843935	2156.510605462724	2273.0434148827076	2351.230319480988	2428.0154376408846	2491.895021381186	2543.6554548119234	2602.9664498834386	2651.964718642526	2697.2015019078494	2730.584725381058	2763.357919452212	2786.1051254928016	2805.9695553912547	2820.491396487382	2845.382583855802	2864.9025316822017	2869.101557453529	2879.265739100785	2905.3930373496883	2933.6759241925233	2954.5281383189026	2968.9226256434663	2974.22535413532	2982.101988871613	2998.151858913295	3015.327008890088	3034.5138573872873	3049.8334398149404	3052.296650323185	3063.297566828325	3090.450092501915	3114.2397081904624	3136.4051494787136	3155.685474369795	3169.1218572653697	3180.2486267548684	3195.5734444017007	3206.8222910214304	3219.1920574688675	3227.357938359532	3226.376941849938	3235.936242662505	3243.5323813720283	3257.25765247786	3270.1345532477458	3290.719376729874	3314.016517144277	3326.0595451118315	3343.537218103989	3361.918407917445	3381.7433765383435	3391.4974837475493	3401.7051517994114	3409.288543072114	3422.728846479493	3430.4798882005134	3428.63944926332	3434.220023469489	3452.7273685613823	3475.216273699519	3500.406438590847	3534.5867619237824	3566.0963737343895	3590.0359775654156	3590.1254062397975	3594.628735610554	3613.5371226005395	3634.488879590361	3643.4382638904576	3652.759744457039	3672.7639785684196	3691.261902858364	3698.2702365273985	3713.3503026976578	3728.5699026469624	3746.370928526344	3758.1776215345303	3779.1771089402373	3812.2644343685047	3834.975153549368	3847.762289933606	3856.282478519389	3865.709360935723	3866.446710657387	3861.7156286926547	3856.843361531123	3852.117059386715	3832.5401009618304	3800.6289975234704	3733.7333837506017	3645.6944459692427	3520.61866325465	3360.4584183993697	3157.9715729953105	2891.166924221938	2517.1925346243474	1962.1849284356097	1181.5216432237362	356.73895169590025
BH2	2297.8991731746282	2564.5571734160094	2733.9463416574717	2829.033622362336	2892.2645701636234	2950.1113303149614	2996.6496066162026	3053.124774794277	3097.024436289501	3144.610734625191	3187.6088549407127	3217.2817357092927	3243.032260068486	3267.3601300594723	3293.619077647585	3320.5047691295913	3349.0130574118425	3361.6309094632907	3382.8955234695154	3413.63372093835	3433.14123473068	3450.6339407576634	3464.3599856795236	3486.178323237758	3503.2464364395164	3533.5454774588065	3566.49857915414	3588.3609407735485	3596.394723267067	3622.135472652302	3631.096038455898	3645.349189826659	3667.1216570590855	3679.3423367852356	3695.6785868707116	3715.251513403998	3734.1861118760075	3745.6428470713827	3751.4161369767953	3751.4251618691974	3757.56770456486	3774.232268812291	3790.580596449917	3812.0043628657822	3835.08181422194	3841.6651612334376	3848.578840413808	3862.226118942374	3882.4830060671966	3883.948735354741	3890.088050172538	3901.7643798106064	3922.7384671410637	3939.368448601169	3950.383999232626	3959.259363967881	3974.5429540027426	3986.0685136227194	3996.019495941377	4012.3073635775354	4030.382671045957	4063.430534168244	4083.2282077726904	4106.1969609889675	4120.697222829527	4137.575106353967	4154.650110579245	4176.321897667062	4190.636966884218	4200.17081265571	4219.066073880584	4243.389004569644	4281.440268413105	4305.802121203716	4332.089939017164	4352.604547505979	4365.835105615368	4386.649181945391	4407.072301416944	4428.121981141767	4448.373650475972	4464.5477438679745	4482.240593887161	4477.2860751612025	4467.809063185681	4449.668097418903	4447.399480581278	4434.183444172245	4395.442388354901	4337.180149156325	4249.907307861693	4153.846318781979	4030.752109710094	3864.8827815462796	3615.9285961843534	3279.4513514135856	2811.265162206282	2171.856954587588	1309.2764546943738	400.44073138421436
BH3	2183.204158007116	2430.431779942602	2600.2597012180086	2674.3592535433772	2715.1851414991	2757.816760107349	2825.143104595668	2885.0416575204163	2927.9940789008274	2974.9156212189378	3028.3242528384244	3067.140814322588	3095.329842851574	3112.611601412741	3134.4350725785994	3161.918103610073	3190.458583579329	3214.89326120437	3245.135294237793	3268.2553910986376	3269.982929160766	3280.0726087246967	3305.9119202227707	3327.7002377173812	3345.183592970498	3361.831897227809	3380.3128049361567	3401.7689212719592	3413.911358827168	3437.687618693568	3451.718936598763	3462.249088006937	3470.4329823839844	3480.6764993337397	3480.946566681581	3498.463501280103	3507.1995942367207	3514.476813050385	3516.798556508348	3528.126557663684	3539.978061877525	3545.377962698288	3561.378496598755	3584.394718438477	3594.1556989069118	3589.2271243354153	3590.6610082809952	3598.6733279192354	3607.0103743067475	3612.515457395673	3628.3410422564107	3641.184220578205	3657.8531406265815	3681.1953866645645	3701.66828494373	3718.1432361273205	3719.4858455010976	3716.75803903195	3733.283700892964	3737.777916402361	3750.5274068156973	3761.00031061748	3773.549465307143	3797.3335599625148	3813.2539658891324	3824.154862657947	3828.7396226422766	3840.737095323934	3856.7270627345924	3865.2185449436997	3873.3690146530175	3877.139388828773	3905.178937355938	3920.1454137686364	3940.2333842486846	3944.1132751215464	3954.995374852481	3971.062959536291	3986.0584494024874	4008.951882361571	4031.4363027794934	4047.849822358129	4047.185799632721	4031.016950127206	4027.1728136802667	4016.8220086735546	4000.9047461812684	3977.949145768673	3946.070225618734	3901.0755040789136	3828.028028770827	3743.429125737201	3630.655281086427	3475.4481414912902	3266.669033299451	2973.180958135588	2567.5989788555353	2004.4423657809343	1216.3284654249942	371.25550321200245
BH4	2050.2366827555966	2279.9798398961775	2443.834856759779	2536.204819637806	2572.649697224552	2610.8212095223043	2660.732053985911	2706.0027228480985	2758.2243072821025	2798.5823235584876	2831.49175101758	2852.3875824550296	2871.9655373137466	2894.6509306822863	2915.1260440895303	2933.8928075585304	2942.923880663828	2944.137275852422	2953.613017402054	2974.1990934056453	2988.624174730551	3004.5580644182983	3016.3216468041173	3017.8167291836508	3026.3553027143116	3043.940606431245	3069.1813993285045	3085.3426583750042	3089.7062925077767	3095.5086500251064	3111.472359977769	3123.0985311620834	3133.610718442469	3134.885156557621	3134.0851110513627	3138.848261640279	3141.3461863302596	3154.7391129450643	3172.612764663989	3183.888217064835	3191.355576968206	3203.987849777583	3225.0019739412705	3246.074625132313	3264.144685326346	3266.878042088144	3271.4866820166317	3272.3052099393412	3276.6185090077875	3283.8716897545237	3300.1446747713944	3320.330930885115	3337.467745033187	3360.3559565593428	3375.650611193463	3386.77540478048	3391.5189629989577	3387.2032724413584	3389.112391468321	3400.799934814476	3423.1998219617653	3445.44144821128	3475.256388631114	3498.5338182266983	3517.1369019057324	3527.02086793073	3541.57189892436	3561.3518568158524	3578.214755756292	3593.61672532089	3609.8115254172326	3635.3100013918092	3655.97714892477	3669.8560513264283	3681.7122688701156	3709.8171794434693	3735.026687574086	3758.34012109499	3782.934369371977	3803.9021862141763	3823.007209710704	3834.3515229678164	3845.6075284021153	3841.8432501253155	3851.882850664892	3842.8674864006157	3829.7230715410587	3817.967314858673	3797.917088855169	3753.547969458674	3670.264574378183	3576.5540523132513	3469.720952210503	3324.781248871832	3121.6012254866882	2846.627392916838	2471.031535733473	1927.938136278907	1156.1969359265734	351.72344223631814
BH5	1892.9168304035215	2077.4185432012537	2223.5074314427457	2320.176076236393	2381.549018488706	2428.3737477423892	2494.9275206573398	2550.975062637187	2583.8410982832474	2596.1920410270045	2606.2371353070116	2631.4386792665173	2656.8838934439927	2673.776410955076	2696.113324655361	2731.116632945062	2762.5460059932484	2779.063981237611	2791.8699496027493	2808.7981919357144	2821.8629056266923	2830.167066283173	2844.803591923741	2862.7620262050427	2879.8843475545546	2896.9308407501417	2912.9608803612205	2935.4746034276836	2950.386953429551	2969.465761165511	2982.3516019260633	3004.4766533419433	3025.7852117337416	3037.4791113439287	3039.056417145162	3058.6854328262843	3071.5690577785454	3083.5898598651365	3090.263419216524	3098.73109340445	3110.3675170916345	3119.4960235792937	3133.9650419078816	3155.153683363168	3171.6117717097413	3172.1467112905984	3171.2811085415688	3185.1259204624	3201.936939928291	3222.382923889307	3239.203467523628	3255.0340740790416	3276.9687802760714	3307.182633166404	3323.261311275185	3344.5321285125956	3350.280885209469	3359.0592693897893	3371.387069625946	3376.5118842328957	3385.5676764480995	3404.6004773867094	3428.1821832103287	3446.4867747817207	3476.2067824106975	3492.903893689242	3512.25977692242	3541.5909819964195	3577.451062338088	3598.629195267819	3613.5143053921524	3634.6967418282993	3663.3485726222216	3692.612038955487	3720.133179568281	3742.542924754028	3773.3652913399737	3806.1620888642105	3830.5946717280526	3854.3950599853856	3871.414909894341	3879.9561891689104	3896.8194503370714	3911.426689748855	3925.969034385999	3912.740958108762	3918.687506123246	3910.7551481253595	3879.690025452128	3837.385478643781	3771.4730139341837	3681.841592953921	3577.1476323459665	3441.4472853945995	3253.622720692509	2989.8232626773206	2594.9413634515363	2031.2341673075764	1229.4992267705031	370.4816044366539
