Sample	Sense	Antisense	Undetermined
BC1	0.49	95.88	3.63
BC2	0.51	95.69	3.8
BC3	0.8200000000000001	95.96000000000001	3.2199999999999998
BC4	1.02	95.64	3.34
BC5	0.77	97.28	1.95
BH1	0.89	98.07000000000001	1.04
BH2	0.77	96.88	2.35
BH3	1.3299999999999998	96.94	1.7399999999999998
BH4	1.38	96.72	1.9
BH5	0.8699999999999999	97.26	1.87
BN1	0.65	95.55	3.7900000000000005
BN2	0.61	95.07	4.32
BN3	0.33	96.11	3.56
BN5	0.62	95.89999999999999	3.4799999999999995
MC1	1.39	95.13000000000001	3.4799999999999995
MC2	1.32	95.26	3.42
MC3	0.72	96.6	2.69
MC4	2.0	94.17	3.83
MC5	0.8699999999999999	94.89	4.24
MH1	1.02	97.5	1.48
MH2	1.0	97.05	1.95
MH3	1.0999999999999999	96.08	2.82
MH4	1.31	96.28999999999999	2.4
MH5	1.54	95.85000000000001	2.6
MN1	0.61	95.16	4.2299999999999995
MN2	0.8200000000000001	96.41	2.76
MN3	0.75	95.38	3.8699999999999997
MN4	0.74	95.27	3.9899999999999998
MN5	0.83	95.75	3.42
OC1	1.06	95.35	3.5900000000000003
OC2	0.6799999999999999	95.89	3.4299999999999997
OC3	0.95	94.44	4.61
OC4	0.63	95.56	3.8
OC5	0.7799999999999999	95.04	4.18
OH1	0.59	96.99	2.42
OH2	0.5	97.7	1.7999999999999998
OH3	0.7100000000000001	97.99	1.29
OH4	1.27	96.96000000000001	1.77
OH5	0.51	97.2	2.2800000000000002
ON1	0.35000000000000003	97.14	2.5100000000000002
ON2	0.37	96.85000000000001	2.78
ON3	0.37	97.47	2.16
ON4	0.8200000000000001	95.98	3.2
ON5	0.5599999999999999	96.1	3.34
WC1	0.79	94.41000000000001	4.8
WC2	0.73	95.50999999999999	3.7699999999999996
WC3	0.5599999999999999	93.89999999999999	5.54
WC4	0.62	92.12	7.26
WC5	0.7000000000000001	91.21000000000001	8.09
WH1	0.77	97.39999999999999	1.83
WH2	1.2	97.19	1.6099999999999999
WH3	0.83	97.7	1.46
WH4	0.6	97.98	1.41
WH5	0.6799999999999999	96.82	2.5100000000000002
WN1	0.62	93.75	5.63
WN2	0.5700000000000001	93.97	5.46
WN3	0.6	91.9	7.51
WN4	0.7100000000000001	93.53	5.76
WN5	0.65	92.55	6.800000000000001
