Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_5kb	TSS_up_10kb	TES_down_1kb	TES_down_5kb	TES_down_10kb	Other_intergenic
BC1	62369816.0	2366158.0	7148416.0	2361719.0	272102.0	480803.0	606448.0	1458293.0	2084269.0	2319032.0	4551592.0
BC2	61030360.0	2252273.0	6370948.0	2544948.0	298162.0	595132.0	797315.0	1679025.0	2646069.0	3047317.0	7683294.0
BC3	56943415.0	2120288.0	5591368.0	3448083.0	321289.0	776811.0	1092481.0	2214620.0	3718115.0	4301263.0	11574199.0
BC4	45874852.0	1588454.0	4896877.0	3471750.0	299566.0	800050.0	1165456.0	2539603.0	4552823.0	5357334.0	16021792.0
BC5	26944787.0	493875.0	5253642.0	3230579.0	230852.0	868179.0	1339845.0	3200682.0	5905479.0	6992392.0	22052234.0
BH1	41201890.0	1678108.0	4422675.0	1970397.0	288289.0	663275.0	915722.0	1582893.0	2693612.0	3200107.0	9161506.0
BH2	47946318.0	1927390.0	5086968.0	3875957.0	450199.0	1122915.0	1595873.0	3309546.0	5765782.0	6737419.0	19908622.0
BH3	58342758.0	2623602.0	5801394.0	3314075.0	510049.0	1119373.0	1548230.0	2524212.0	4146174.0	4854362.0	13294733.0
BH4	59892723.0	2565893.0	6471059.0	2205207.0	389723.0	812825.0	1088109.0	1482086.0	2325724.0	2724353.0	6535214.0
BH5	47292255.0	1768977.0	5608395.0	3406091.0	414369.0	1112833.0	1591926.0	3056028.0	5405054.0	6341999.0	18517868.0
BN1	79134353.0	2763203.0	8621739.0	2291334.0	313224.0	578255.0	747808.0	1415126.0	2061339.0	2371169.0	5422849.0
BN2	66612851.0	2420649.0	8125136.0	3449244.0	379787.0	878294.0	1225285.0	2588500.0	4373733.0	5094112.0	14255050.0
BN3	53800559.0	1046588.0	9609601.0	1772938.0	186850.0	464329.0	665640.0	2070072.0	3031342.0	3448403.0	8242744.0
BN5	63507351.0	2227709.0	7028197.0	2347945.0	273669.0	586032.0	791705.0	1583866.0	2501487.0	2897559.0	7499258.0
MC1	47537578.0	1611389.0	4383976.0	3072158.0	264359.0	757259.0	1129435.0	2240554.0	3825828.0	4444240.0	13094354.0
MC2	49971890.0	1602120.0	4982488.0	3153492.0	261718.0	766315.0	1149492.0	2398527.0	4157601.0	4850356.0	14547314.0
MC3	31857745.0	970476.0	3365278.0	2592049.0	212473.0	665624.0	1039849.0	2196520.0	4193117.0	5027415.0	16896428.0
MC4	46330717.0	1345537.0	6327772.0	3770889.0	309004.0	976516.0	1488195.0	3143977.0	5371021.0	6210384.0	18264451.0
MC5	59108554.0	1961246.0	6588083.0	3898418.0	347081.0	951026.0	1406396.0	2930615.0	5107173.0	5938543.0	17702844.0
MH1	47094715.0	1511662.0	5932223.0	2458217.0	339362.0	918077.0	1394574.0	2525714.0	4113183.0	4786543.0	13850975.0
MH2	54717074.0	2179321.0	5229734.0	2281745.0	359992.0	890816.0	1340917.0	2016014.0	3407841.0	4041903.0	12126509.0
MH3	72033210.0	2962226.0	7447977.0	2675865.0	507046.0	1076176.0	1557388.0	2176743.0	3377368.0	3967202.0	10985430.0
MH4	66750094.0	2672244.0	8892445.0	2449493.0	433905.0	1018866.0	1507211.0	1786525.0	2575766.0	2978918.0	6747723.0
MH5	51775893.0	2289472.0	6010067.0	1958186.0	306963.0	711322.0	1070372.0	977362.0	1453254.0	1689146.0	3493323.0
MN1	92827908.0	2858569.0	10117762.0	3207520.0	369124.0	879369.0	1249455.0	2505986.0	4030424.0	4692406.0	13275302.0
MN2	54197726.0	1637200.0	6477169.0	2720250.0	279253.0	749037.0	1097235.0	2247746.0	3666635.0	4253839.0	12100404.0
MN3	70141152.0	2347595.0	6478476.0	2559287.0	286148.0	655454.0	933420.0	1645609.0	2661595.0	3106223.0	8611965.0
MN4	55769930.0	1448399.0	8214253.0	1210723.0	147756.0	289288.0	379855.0	1026401.0	1320336.0	1462117.0	2419852.0
MN5	55240379.0	1588646.0	6421318.0	2909834.0	283211.0	796789.0	1188540.0	2484088.0	4178550.0	4863601.0	14692367.0
OC1	47551477.0	1485058.0	4863062.0	4103749.0	353431.0	1036090.0	1549166.0	3346292.0	6201128.0	7218852.0	20643983.0
OC2	52707099.0	1599329.0	6096042.0	3300790.0	318608.0	830937.0	1242584.0	2691378.0	4778754.0	5612216.0	16821649.0
OC3	64614674.0	2731116.0	7080586.0	3234146.0	300071.0	505242.0	649776.0	956720.0	1304050.0	1464380.0	2703988.0
OC4	50947392.0	1637642.0	5513279.0	3916728.0	370678.0	1040009.0	1593441.0	3386103.0	6446389.0	7608620.0	24425534.0
OC5	68746708.0	2288555.0	7461453.0	2808831.0	324789.0	670253.0	925103.0	1781024.0	2806407.0	3219837.0	7929705.0
OH1	66726022.0	2528367.0	9246521.0	3302186.0	511664.0	1176640.0	1673287.0	2463287.0	3903832.0	4489689.0	12073468.0
OH2	62975440.0	2319459.0	8514405.0	1797762.0	436245.0	842792.0	1110772.0	1489664.0	1982305.0	2221134.0	4555637.0
OH3	70136429.0	2793518.0	8274915.0	3654381.0	531742.0	1385462.0	2034819.0	2425419.0	4096992.0	4829313.0	14196339.0
OH4	40233502.0	1571752.0	5200825.0	3436964.0	414818.0	1136175.0	1669168.0	2640859.0	4559434.0	5343555.0	15471904.0
OH5	44515966.0	1496559.0	6253369.0	3579001.0	423205.0	1106722.0	1632012.0	2982088.0	5423016.0	6372331.0	20613651.0
ON1	47895448.0	1413622.0	5703809.0	3144975.0	317296.0	864020.0	1277868.0	2724274.0	4744864.0	5533439.0	17246719.0
ON2	48365120.0	1413615.0	6031862.0	2488731.0	268472.0	667957.0	987858.0	2126574.0	3668640.0	4303769.0	12807066.0
ON3	44282271.0	1204989.0	6567000.0	3264796.0	293532.0	851652.0	1308694.0	2856335.0	5223334.0	6121467.0	19302494.0
ON4	83513227.0	2771007.0	9551850.0	5194771.0	528511.0	1386088.0	2013578.0	3805098.0	6515593.0	7538721.0	21694489.0
ON5	81027957.0	2373623.0	10683845.0	3193914.0	347636.0	787245.0	1113947.0	2395699.0	3790644.0	4358171.0	11545187.0
WC1	54931557.0	1598377.0	6880005.0	3131326.0	296726.0	803229.0	1224324.0	2590539.0	4641156.0	5461276.0	17141635.0
WC2	42164418.0	1352046.0	4862992.0	1933724.0	203451.0	493225.0	718775.0	1439641.0	2503372.0	2896177.0	8106341.0
