Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
BC1_1	28535382	12566231	4308842682	1517616	4223051116	1.991058210558266
BC1_2	28535382	13503639	4308842682	14841663	4209430935	2.3071565693332965
BC2_1	30284968	12863974	4573030168	1689704	4483230637	1.9636767679421092
BC2_2	30284968	14051462	4573030168	26266962	4462710594	2.412395500295768
BC3_1	31223876	12978463	4714805276	1710807	4628464518	1.8312687999969905
BC3_2	31223876	14379877	4714805276	9822963	4619519477	2.020991184620877
BC4_1	30508011	12220129	4606709661	1816950	4532188542	1.617664764742811
BC4_2	30508011	13831115	4606709661	10632331	4522071885	1.837271767234128
BC5_1	28900904	12305313	4364036504	1906561	4270464642	2.1441585539954504
BC5_2	28900904	14098134	4364036504	7996572	4261713468	2.34468790318808
BH1_1	23532009	9464242	3553333359	1311232	3495335544	1.6322086655084365
BH1_2	23532009	10623989	3553333359	6293695	3489096025	1.8078048837522536
BH2_1	35859645	14734366	5414806395	2345596	5309645830	1.942092797576376
BH2_2	35859645	16775377	5414806395	17432930	5292413065	2.260345450448926
BH3_1	34550689	13395068	5217154039	1748843	5142075655	1.4390678028435342
BH3_2	34550689	15040046	5217154039	10192995	5132245032	1.627496645973577
BH4_1	29130987	11981779	4398779037	1486816	4323533508	1.7106003362996385
BH4_2	29130987	13036713	4398779037	7969003	4316425010	1.8722019521163777
BH5_1	34044085	13679833	5140656835	2040072	5052693552	1.7111292549447137
BH5_2	34044085	15586093	5140656835	13022810	5039592620	1.9659786335455711
BN1_1	34381827	14198142	5191655877	1807265	5104905985	1.6709484229168219
BN1_2	34381827	15354403	5191655877	10445537	5096032713	1.8418625245103084
BN2_1	37973880	15855240	5734055880	1993308	5633904794	1.7466011510163377
BN2_2	37973880	17395744	5734055880	13058618	5621341031	1.9657089389927607
BN3_1	29604417	12612153	4470266967	1593437	4383037557	1.951324398384639
BN3_2	29604417	13754176	4470266967	18129391	4366157493	2.328931913206695
BN5_1	30287610	12575267	4573429110	1706509	4492510225	1.7693263206609535
BN5_2	30287610	13754037	4573429110	9703400	4483790286	1.9599915477863394
MC1_1	28531847	11444308	4308308897	1690140	4238569690	1.6187141792122062
MC1_2	28531847	12911528	4308308897	8721155	4230030954	1.8169064677443902
MC2_1	30602184	12870309	4620929784	2153872	4532043346	1.9235617539087022
MC2_2	30602184	14408607	4620929784	12112477	4520268055	2.1783868984233843
MC3_1	25499555	10112276	3850432805	1715278	3786183796	1.668617847753871
MC3_2	25499555	11600931	3850432805	17779323	3769165323	2.1106064205164072
MC4_1	34052852	14062724	5141980652	1887981	5052312225	1.7438499494377326
MC4_2	34052852	15918546	5141980652	23599775	5028620920	2.2045927371568026
MC5_1	37195426	14886299	5616509326	2026216	5527863338	1.5783110621687944
MC5_2	37195426	16753606	5616509326	10061777	5518196329	1.7504288036145246
MH1_1	30843313	12410136	4657340263	1753954	4576456168	1.736701431127537
MH1_2	30843313	14075011	4657340263	11228549	4565163025	1.9791819535346673
MH2_1	31619574	12609464	4774555674	2132718	4692646710	1.7155306083461954
MH2_2	31619574	14224848	4774555674	9935812	4683643465	1.9040977885139223
MH3_1	38530338	15363545	5818081038	1925799	5725832056	1.5855568424964932
MH3_2	38530338	17028371	5818081038	11221238	5715516675	1.762855524529736
MH4_1	33958445	14462453	5127725195	2101438	5040351809	1.7039404936363793
MH4_2	33958445	15559859	5127725195	19360557	5022488961	2.0522986314207112
MH5_1	24908501	10685371	3761183651	1302679	3686902077	1.9749520601114618
MH5_2	24908501	11278563	3761183651	4785726	3685501108	2.0122001482133953
MN1_1	46727270	20246069	7055817770	2435087	6913669864	2.0146198588686057
MN1_2	46727270	22052831	7055817770	27881397	6891004236	2.3358530417374994
MN2_1	31319861	12653028	4729299011	1646346	4650252392	1.6714235834135969
MN2_2	31319861	14089433	4729299011	11567579	4639769598	1.8930799848299125
MN3_1	33900220	13742929	5118933220	1626070	5037965480	1.5817307341235445
MN3_2	33900220	15103792	5118933220	24567216	5014217802	2.045649230016718
MN4_1	24327529	10455014	3673456879	1347303	3594496792	2.149476354313291
MN4_2	24327529	11124183	3673456879	7574480	3588564095	2.3109781003638674
MN5_1	33780120	13733704	5100798120	1664882	5015036100	1.6813451146739367
MN5_2	33780120	15147985	5100798120	21932835	4993532529	2.10291778808921
OC1_1	35323004	14047192	5333773604	1882511	5248970449	1.5899279065088718
OC1_2	35323004	16135820	5333773604	29476391	5219041468	2.1510499792109288
OC2_1	34207834	13314715	5165382934	2292364	5089184635	1.4751723148818536
OC2_2	34207834	15217670	5165382934	16951382	5072602730	1.7961921736585038
OC3_1	28882094	12804743	4361196194	1616135	4273273086	2.016031934563318
OC3_2	28882094	13369746	4361196194	11254164	4264571477	2.215555382097538
OC4_1	39018456	15507024	5891786856	2140625	5796209768	1.6222088533747188
OC4_2	39018456	17743315	5891786856	16155846	5779355028	1.9082806413049915
OC5_1	33380306	13567295	5040426206	1745994	4961013524	1.5755152194365845
OC5_2	33380306	14893454	5040426206	17537015	4944248527	1.9081259216832187
OH1_1	38233587	15961199	5773271637	2064904	5678859538	1.635330968924579
OH1_2	38233587	17396966	5773271637	12978670	5666847494	1.8433940006900806
OH2_1	30574040	13163223	4616680040	1633040	4528881306	1.90177212280884
OH2_2	30574040	14116069	4616680040	12382216	4518354722	2.1297841121343986
OH3_1	40813596	17382219	6162852996	2130650	6059085687	1.6837544083454559
OH3_2	40813596	18929731	6162852996	21982664	6037898926	2.027536111620729
OH4_1	30126591	12552363	4549115241	1620984	4467177405	1.80118180479394
OH4_2	30126591	13962519	4549115241	10035729	4457289612	2.018538202162903
OH5_1	35223386	14182253	5318731286	1865874	5231763487	1.6351230081677037
OH5_2	35223386	15989849	5318731286	12762088	5219179065	1.871728719629849
ON1_1	32469891	13531116	4902953541	1734045	4808821379	1.9199072806388642
ON1_2	32469891	15087333	4902953541	9872001	4798737452	2.1255777385715184
ON2_1	29261654	11790195	4418509754	1492851	4346087328	1.6390690534164203
ON2_2	29261654	13185097	4418509754	12476099	4333957309	1.913596431997375
ON3_1	33071144	13731312	4993742744	1852102	4903691607	1.8032794562394463
