Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BC1_1	BC1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28535382.0	0.0	151.0	53.0	21.984275721592237	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
BC1_2	BC1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28535382.0	0.0	151.0	53.0	23.141714060859133	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
BC2_1	BC2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30284968.0	0.0	151.0	53.0	20.797754047470676	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
BC2_2	BC2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30284968.0	0.0	151.0	53.0	23.32257594934714	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
BC3_1	BC3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31223876.0	0.0	151.0	53.0	24.75888656199198	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
BC3_2	BC3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31223876.0	0.0	151.0	53.0	25.149700959824518	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
BC4_1	BC4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30508011.0	0.0	151.0	53.0	20.162883621498942	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
BC4_2	BC4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30508011.0	0.0	151.0	53.0	21.9456777957618	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
BC5_1	BC5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28900904.0	0.0	151.0	54.0	10.178346538827048	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
BC5_2	BC5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28900904.0	0.0	151.0	54.0	11.546039317252331	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
BH1_1	BH1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23532009.0	0.0	151.0	53.0	24.37417534274717	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
BH1_2	BH1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23532009.0	0.0	151.0	53.0	25.44741146125471	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
BH2_1	BH2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35859645.0	0.0	151.0	54.0	17.975472521228202	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
BH2_2	BH2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35859645.0	0.0	151.0	54.0	19.470554077834592	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
BH3_1	BH3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34550689.0	0.0	151.0	53.0	22.289920236443482	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
BH3_2	BH3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34550689.0	0.0	151.0	53.0	22.33818667395845	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
BH4_1	BH4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29130987.0	0.0	151.0	52.0	23.44579667253211	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
BH4_2	BH4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29130987.0	0.0	151.0	52.0	23.760769246970437	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	warn
BH5_1	BH5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34044085.0	0.0	151.0	53.0	17.606102413713774	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
BH5_2	BH5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34044085.0	0.0	151.0	53.0	19.55823465507714	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
BN1_1	BN1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34381827.0	0.0	151.0	52.0	24.924226533864793	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
BN1_2	BN1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34381827.0	0.0	151.0	53.0	25.937670004920555	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	warn
BN2_1	BN2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37973880.0	0.0	151.0	53.0	20.900278659239792	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
BN2_2	BN2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37973880.0	0.0	151.0	53.0	21.66671519480601	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
BN3_1	BN3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29604417.0	0.0	151.0	54.0	13.684608821616715	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
BN3_2	BN3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29604417.0	0.0	151.0	54.0	15.625760854112672	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
BN5_1	BN5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30287610.0	0.0	151.0	52.0	23.692588818677493	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
BN5_2	BN5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30287610.0	0.0	151.0	52.0	24.328594238440076	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
MC1_1	MC1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28531847.0	0.0	151.0	53.0	21.581695853999616	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
MC1_2	MC1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28531847.0	0.0	151.0	53.0	23.532697156554615	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
MC2_1	MC2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30602184.0	0.0	151.0	52.0	19.976525041373254	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
MC2_2	MC2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30602184.0	0.0	151.0	52.0	22.873861556193056	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
MC3_1	MC3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25499555.0	0.0	151.0	53.0	19.72311783513697	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
MC3_2	MC3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25499555.0	0.0	151.0	53.0	23.001894753545898	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
MC4_1	MC4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34052852.0	0.0	151.0	53.0	11.47997192896363	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
MC4_2	MC4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34052852.0	0.0	151.0	53.0	15.293849366774529	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
MC5_1	MC5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37195426.0	0.0	151.0	53.0	19.171835172888	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
MC5_2	MC5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37195426.0	0.0	151.0	53.0	20.03426530137534	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
MH1_1	MH1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30843313.0	0.0	151.0	54.0	13.600428140228393	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
MH1_2	MH1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30843313.0	0.0	151.0	54.0	16.503154045445754	151.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	warn
MH2_1	MH2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31619574.0	0.0	151.0	54.0	19.70220522910337	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
