Module	Section	Sample Name	Source
QualiMap	rna_genome_results	MN5	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/MN5.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	WN1	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/WN1.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	WH5	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/WH5.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	WC5	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/WC5.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	MH3	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/MH3.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	MC5	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/MC5.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	OC4	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/OC4.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	WN2	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/WN2.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	MH2	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/MH2.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	OH3	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/OH3.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ON5	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/ON5.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BH3	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/BH3.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	WN3	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/WN3.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	WH2	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/WH2.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BH5	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/BH5.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	OH5	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/OH5.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ON1	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/ON1.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	OC1	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/OC1.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	MN1	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/MN1.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	WN4	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/WN4.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BN1	/scratch.global/zhoux379/nf/work/72/190bcbc07559dd5efb3b941fcda12f/qualimap/BN1.sorted/rnaseq_qc_results.txt
