Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
s01_1 - Adapter 1	0.8694420019011836	1.0571111465067753	1.0545591755466157	1.0710748918056212	1.273780098960588	1.009160646458628	1.5141133536903255	4.685731307715222	19.916567342073897	85.23809523809524	230.96153846153845	620.7692307692307	2293.3333333333335	1886.6666666666667	1790.0	1560.0	1430.0	1303.3333333333335	1220.0	993.3333333333334	750.0	650.0	386.6666666666667	400.0	243.33333333333334	223.33333333333334	200.0	243.33333333333334	250.0	126.66666666666667	230.0	203.33333333333334	206.66666666666669	200.0	183.33333333333334	236.66666666666669	263.33333333333337	206.66666666666669	240.0	343.33333333333337	406.6666666666667	443.33333333333337	320.0	353.33333333333337	286.6666666666667	813.3333333333334	453.33333333333337	913.3333333333334	570.0	906.6666666666667	43606.66666666667
s01_2 - Adapter 1	0.8843501828816386	1.06737419205154	1.2404882624081701	1.3380028463936564	1.3921511127247677	1.5964102182170254	1.9885305727265956	4.879356568364612	23.4326579261025	99.52380952380952	287.5	702.3076923076923	2360.0	2030.0	1773.3333333333335	1646.6666666666667	1513.3333333333335	1296.6666666666667	1246.6666666666667	980.0	840.0	740.0	553.3333333333334	480.0	343.33333333333337	516.6666666666667	270.0	313.33333333333337	310.0	493.33333333333337	400.0	1006.6666666666667	436.6666666666667	353.33333333333337	300.0	296.6666666666667	336.6666666666667	416.6666666666667	433.33333333333337	456.6666666666667	596.6666666666667	723.3333333333334	736.6666666666667	2036.6666666666667	1163.3333333333335	1060.0	906.6666666666667	1466.6666666666667	2110.0	10036.666666666668	23090.0
s02_1 - Adapter 1	0.8922267939912246	1.0609439522775226	1.063729968795348	1.0947008572620056	1.3205247938630882	1.0036357824923088	1.7108838101326513	5.177372962607862	22.122762148337596	98.77551020408163	254.6938775510204	795.8333333333334	2496.666666666667	1956.6666666666667	1993.3333333333335	1753.3333333333335	1436.6666666666667	1526.6666666666667	1406.6666666666667	1086.6666666666667	766.6666666666667	700.0	530.0	460.0	370.0	263.33333333333337	263.33333333333337	276.6666666666667	200.0	206.66666666666669	283.33333333333337	310.0	273.33333333333337	386.6666666666667	353.33333333333337	443.33333333333337	516.6666666666667	383.33333333333337	426.6666666666667	543.3333333333334	1000.0	736.6666666666667	603.3333333333334	736.6666666666667	606.6666666666667	1230.0	793.3333333333334	1726.6666666666667	1160.0	2130.0	96713.33333333334
s02_2 - Adapter 1	0.8935132014788418	1.0849888854709546	1.2568167509393078	1.3909843904899604	1.4204593694283103	1.482080786287906	2.1224228863672687	5.465004793863855	25.47314578005115	116.93877551020407	311.4285714285714	835.8333333333334	2526.666666666667	2060.0	2003.3333333333335	1750.0	1473.3333333333335	1553.3333333333335	1443.3333333333335	1070.0	793.3333333333334	746.6666666666667	720.0	633.3333333333334	466.6666666666667	710.0	426.6666666666667	563.3333333333334	603.3333333333334	886.6666666666667	780.0	2160.0	686.6666666666667	813.3333333333334	533.3333333333334	640.0	593.3333333333334	820.0	816.6666666666667	780.0	1493.3333333333335	1443.3333333333335	1410.0	4563.333333333334	2173.3333333333335	1703.3333333333335	2133.3333333333335	2723.3333333333335	4663.333333333334	22666.666666666668	50573.333333333336
s03_1 - Adapter 1	0.8728350133887989	1.056245565500161	1.0539224636517992	1.0776345821616373	1.277873755270005	1.0046069002622906	1.6134239020781491	4.772666128598332	20.38751345532831	82.88793103448276	235.6896551724138	659.3333333333334	1942.5	1667.5	1432.5	1242.5	1147.5	1145.0	947.5	792.5	627.5	485.0	420.0	325.0	277.5	162.5	192.5	245.0	202.5	147.5	167.5	180.0	182.5	230.0	165.0	212.5	237.5	320.0	265.0	310.0	475.0	397.5	377.5	407.5	282.5	930.0	460.0	980.0	940.0	2150.0	101257.5
s03_2 - Adapter 1	0.8833127969017299	1.065959349096372	1.2501710913090343	1.348595856294372	1.3848501279933418	1.671598628018024	2.0922725132826687	4.915254237288136	24.381054897739503	99.56896551724138	297.58620689655174	759.3333333333334	2020.0	1757.5	1427.5	1272.5	1220.0	1157.5	990.0	790.0	687.5	575.0	605.0	390.0	355.0	687.5	302.5	502.5	535.0	892.5	677.5	2250.0	597.5	447.5	417.5	370.0	470.0	842.5	627.5	667.5	1265.0	1057.5	1147.5	4057.5	1840.0	1450.0	2160.0	2025.0	4537.5	23622.5	52842.5
s04_1 - Adapter 1	0.8841074214491732	1.0517390188290832	1.0562081363589275	1.0796050321012485	1.3334680883319017	1.1572202457956016	1.7884864165588616	5.323415265200517	22.445019404915914	94.14507772020725	249.79166666666669	847.5	2350.0	1970.0	1823.3333333333335	1523.3333333333335	1616.6666666666667	1300.0	1283.3333333333335	1146.6666666666667	826.6666666666667	603.3333333333334	496.6666666666667	326.6666666666667	313.33333333333337	216.66666666666669	283.33333333333337	226.66666666666669	243.33333333333334	190.0	240.0	220.0	210.0	226.66666666666669	203.33333333333334	270.0	240.0	306.6666666666667	283.33333333333337	300.0	486.6666666666667	413.33333333333337	323.33333333333337	500.0	253.33333333333334	826.6666666666667	523.3333333333334	1080.0	1176.6666666666667	3446.666666666667	178253.33333333334
s04_2 - Adapter 1	0.8883433315801322	1.090910181967858	1.2665338484356168	1.3642714747371638	1.4084087119106574	1.6255659767141009	2.2873544631306597	5.446313065976715	26.235446313065978	113.73056994818653	310.83333333333337	907.5	2376.666666666667	2083.3333333333335	1813.3333333333335	1560.0	1610.0	1310.0	1296.6666666666667	1116.6666666666667	810.0	636.6666666666667	810.0	416.6666666666667	396.6666666666667	1083.3333333333335	466.6666666666667	753.3333333333334	963.3333333333334	1276.6666666666667	1073.3333333333335	3740.0	1063.3333333333335	726.6666666666667	623.3333333333334	580.0	510.0	1083.3333333333335	766.6666666666667	960.0	1870.0	1500.0	1620.0	6920.0	2843.3333333333335	1760.0	3543.3333333333335	2773.3333333333335	7760.0	40266.66666666667	94280.0
s05_1 - Adapter 1	0.8792716019256833	1.0447242925939926	1.058593886158458	1.0837057681553453	1.2850838374898461	0.9102812803103782	1.2056256062075654	3.2040341349883628	14.906832298136644	70.12422360248446	194.25	461.0	1260.0	1043.3333333333335	910.0	763.3333333333334	663.3333333333334	610.0	593.3333333333334	476.6666666666667	493.33333333333337	303.33333333333337	250.0	220.0	143.33333333333334	136.66666666666669	183.33333333333334	106.66666666666667	130.0	113.33333333333334	123.33333333333334	136.66666666666669	123.33333333333334	156.66666666666669	120.0	153.33333333333334	146.66666666666669	140.0	140.0	180.0	243.33333333333334	290.0	210.0	210.0	133.33333333333334	456.6666666666667	270.0	506.6666666666667	396.6666666666667	686.6666666666667	29516.666666666668
s05_2 - Adapter 1	0.894922011389715	1.0711792914853073	1.2548325596691354	1.3644981336582571	1.4054752003491713	1.4175557710960234	1.6129970902036856	3.588052754072925	18.291925465838506	92.29813664596273	246.5	507.0	1296.6666666666667	1063.3333333333335	813.3333333333334	790.0	716.6666666666667	620.0	610.0	470.0	460.0	406.6666666666667	480.0	243.33333333333334	320.0	843.3333333333334	196.66666666666669	240.0	300.0	430.0	300.0	916.6666666666667	333.33333333333337	266.6666666666667	226.66666666666669	266.6666666666667	286.6666666666667	346.6666666666667	420.0	406.6666666666667	640.0	520.0	803.3333333333334	1913.3333333333335	1060.0	616.6666666666667	946.6666666666667	1156.6666666666667	1856.6666666666667	8993.333333333334	18466.666666666668
