Sample	PE mapped uniquely	PE multimapped	PE neither mate aligned
s01	19712415.0	1243636.0	1000062.0
s02	17959404.0	1202604.0	1261417.0
s03	22092033.0	1344393.0	850628.0
s04	18051842.0	1105885.0	1018582.0
s05	14904718.0	866188.0	1001023.0
s06	13234788.0	3071827.0	2898626.0
s07	15792585.0	1032435.0	1059262.0
s08	17228998.0	1784287.0	1548566.0
s09	16765872.0	1333671.0	1258876.0
s10	7595569.0	5254329.0	4616753.0
s11	22861351.0	1340150.0	750672.0
s12	16923384.0	1188005.0	761629.0
s13	16010661.0	1186446.0	1040668.0
s14	15675351.0	1057354.0	1912364.0
s15	12856171.0	926530.0	1484415.0
s16	14239289.0	1426330.0	1960205.0
s17	16144205.0	1389228.0	1847709.0
s18	10299567.0	976997.0	1690879.0
s19	8980894.0	1218033.0	1562148.0
s20	9374750.0	942231.0	1393187.0
s21	12664116.0	953720.0	1433367.0
s22	13307829.0	1133109.0	1554949.0
s23	15840516.0	1330104.0	1762238.0
s24	16217563.0	1511005.0	2055867.0
s25	13425705.0	2700970.0	2241029.0
s26	10604658.0	7656547.0	3955485.0
s27	11685292.0	1393875.0	1856539.0
s28	10270582.0	6031651.0	3825158.0
s29	17515672.0	956927.0	2768922.0
s30	15122594.0	1080621.0	2501128.0
s31	16005246.0	1123935.0	2462465.0
s32	14853365.0	1185377.0	2675617.0
s33	17493150.0	1042905.0	2284198.0
s34	13891369.0	3996627.0	3111689.0
s35	14430086.0	1115205.0	2464047.0
s36	18431276.0	1030456.0	2521318.0
s37	18288062.0	1011664.0	2696634.0
s38	15338464.0	733339.0	2232564.0
s39	12771583.0	981920.0	2262980.0
s40	15114800.0	846648.0	2191393.0
s41	20662741.0	1217317.0	2814058.0
s42	21053860.0	1304111.0	2575647.0
s43	20456662.0	1338125.0	3507989.0
s44	16708766.0	1000609.0	2845631.0
s45	20284411.0	1593746.0	2556287.0
s46	21764147.0	1300411.0	3138708.0
s47	24022947.0	1436636.0	3435943.0
s48	22917204.0	1646868.0	3117289.0
s49	22548473.0	2403835.0	3013647.0
s50	23489974.0	1568329.0	3068989.0
s51	12836270.0	844377.0	1160681.0
s52	12223027.0	1352030.0	1818885.0
s53	16965452.0	1223400.0	1141404.0
s54	12875207.0	816885.0	2195115.0
s55	16804230.0	972364.0	1446416.0
s56	16173557.0	1080051.0	1205484.0
s57	16016293.0	1470888.0	1400260.0
s58	15644827.0	1376073.0	1421048.0
s59	20770356.0	1865344.0	977941.0
s60	16135734.0	1555483.0	1018974.0
s61	19206271.0	1573211.0	1007537.0
s62	15979867.0	1859667.0	1632594.0
s63	15062684.0	878508.0	980498.0
s64	20005268.0	1169517.0	2564979.0
s65	20420921.0	1175042.0	2670811.0
s66	23248816.0	1378118.0	2838252.0
s67	14564625.0	983227.0	1959032.0
s68	18648553.0	1125717.0	1910235.0
s69	17186213.0	1862330.0	2259500.0
s70	15645127.0	1771349.0	2186786.0
s71	18440931.0	1099540.0	3148826.0
s72	24293539.0	1450649.0	3153221.0
s73	16829080.0	1108077.0	3173783.0
s74	15082975.0	1345249.0	2999443.0
s75	15956732.0	1108626.0	3364281.0
s76	17622529.0	1191497.0	3697645.0
