Sample	Sense	Antisense	Undetermined
s01	0.8699999999999999	97.7	1.4200000000000002
s02	0.65	97.8	1.55
s03	1.02	98.35000000000001	0.63
s04	1.4000000000000001	97.38	1.22
s05	0.65	97.94	1.41
s06	0.67	98.46000000000001	0.8699999999999999
s07	1.37	97.35000000000001	1.28
s08	1.05	97.87	1.08
s09	1.15	97.65	1.2
s10	0.41000000000000003	99.13	0.47000000000000003
s11	1.78	97.5	0.72
s12	0.88	97.46000000000001	1.66
s13	1.02	97.87	1.11
s14	0.48	95.27	4.25
s15	0.53	97.8	1.67
s16	0.54	96.97	2.5
s17	0.52	96.64	2.83
s18	0.6	98.72999999999999	0.67
s19	0.31	97.83	1.87
s20	0.52	98.94	0.54
s21	0.43	97.55	2.02
s22	0.5599999999999999	96.28	3.16
s23	0.44	95.98	3.58
s24	0.67	95.50999999999999	3.82
s25	0.5499999999999999	97.88	1.5699999999999998
s26	0.41000000000000003	97.13000000000001	2.46
s27	0.52	98.63	0.86
s28	0.29	96.96000000000001	2.75
s29	0.73	96.54	2.73
s30	0.45999999999999996	97.78	1.76
s31	0.45999999999999996	96.35000000000001	3.19
s32	0.74	98.09	1.16
s33	0.59	94.58	4.83
s34	0.7000000000000001	98.61999999999999	0.69
s35	0.7000000000000001	95.3	4.0
s36	0.6	97.13000000000001	2.2800000000000002
s37	0.79	97.15	2.06
s38	0.54	95.54	3.93
s39	0.9199999999999999	98.15	0.9299999999999999
s40	0.38	96.31	3.3099999999999996
s41	0.8500000000000001	96.89999999999999	2.25
s42	0.95	94.61	4.44
s43	0.7100000000000001	98.88	0.41000000000000003
s44	0.95	97.11	1.94
s45	0.44	94.17999999999999	5.37
s46	0.75	92.78999999999999	6.460000000000001
s47	0.64	97.45	1.91
s48	0.45999999999999996	95.61	3.93
s49	0.75	97.8	1.4500000000000002
s50	0.8	93.14	6.069999999999999
s51	0.51	97.54	1.95
s52	0.66	98.68	0.66
s53	0.62	95.85000000000001	3.54
s54	0.53	97.85000000000001	1.63
s55	0.44	95.54	4.02
s56	0.5599999999999999	97.05	2.39
s57	0.59	98.37	1.04
s58	0.6	96.74000000000001	2.6599999999999997
s59	0.69	94.88	4.43
s60	0.7000000000000001	98.16	1.1400000000000001
s61	0.53	95.46	4.02
s62	0.66	95.5	3.85
s63	0.5700000000000001	98.0	1.43
s64	0.73	98.94	0.33
s65	1.59	97.92	0.49
s66	0.96	98.8	0.24
s67	0.49	97.16	2.35
s68	0.76	95.73	3.52
s69	0.6	96.87	2.52
s70	0.77	98.24000000000001	0.98
s71	1.4200000000000002	94.8	3.7800000000000002
s72	1.49	95.39	3.1199999999999997
s73	1.27	95.73	2.9899999999999998
s74	0.7100000000000001	98.21	1.08
s75	0.97	98.1	0.9199999999999999
s76	0.96	98.06	0.98
