Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
s01_1	21998928	6751744	1121945328	921567	1110774721	0.9956462869641719
s01_2	21998928	6941708	1121945328	2961931	1108350738	1.211698080175971
s02_1	20503612	6441315	1045684212	869293	1034132673	1.1046871385679868
s02_2	20503612	6568921	1045684212	4136495	1030618384	1.4407626917484722
s03_1	24361259	7524230	1242424209	1005388	1228657684	1.1080374078576893
s03_2	24361259	7709947	1242424209	3320849	1226064746	1.3167373012771035
s04_1	20263886	6334456	1033458186	835503	1020908263	1.2143619519406468
s04_2	20263886	6497299	1033458186	3157527	1018406766	1.4564130609150743
s05_1	16892082	5210238	861496182	837510	852878112	1.0003607885983643
s05_2	16892082	5382501	861496182	7900235	845341306	1.87521156071705
s06_1	19250338	5838771	981767238	820146	972204268	0.9740567448024783
s06_2	19250338	6113984	981767238	3001456	969450128	1.2545855599227074
s07_1	17939163	5602091	914897313	787020	904962921	1.0858477622395204
s07_2	17939163	5705585	914897313	3036511	902548795	1.3497162823124391
s08_1	20672930	6398856	1054319430	860631	1040099795	1.3487027361337731
s08_2	20672930	6602809	1054319430	2758412	1038007111	1.547189450923806
s09_1	19417093	6139563	990271743	808771	979417424	1.0960949937960616
s09_2	19417093	6244346	990271743	3029507	976981663	1.342063942947426
s10_1	17611265	5340010	898174515	816436	884380249	1.535811333947724
s10_2	17611265	5691787	898174515	3014732	881953494	1.805998804141086
s11_1	25047481	7712736	1277421531	1022966	1263302830	1.105249963099299
s11_2	25047481	7891357	1277421531	4652361	1259386260	1.4118496175558826
s12_1	18938134	5921380	965844834	776570	955429949	1.078318652579758
s12_2	18938134	6074259	965844834	3291214	952603115	1.3709985842301455
s13_1	18416032	5612292	939217632	827371	923709090	1.6512192139084545
s13_2	18416032	5800095	939217632	3834879	920729000	1.9685141515741904
s14_1	18676668	5623413	952510068	785281	943427853	0.9535033072217354
s14_2	18676668	5860667	952510068	2538272	941172747	1.1902573401460361
s15_1	15303802	4581831	780493902	606596	772549346	1.017888285820329
s15_2	15303802	4717551	780493902	2064531	770842503	1.236575836821849
s16_1	17693110	5331493	902348610	747507	892398944	1.1026410291694249
