Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
s01_1	s01_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21998928.0	0.0	51.0	52.0	47.23324514661984	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
s01_2	s01_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21998928.0	0.0	51.0	53.0	49.920781075156945	51.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
s02_1	s02_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20503612.0	0.0	51.0	51.0	46.49804692986761	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
s02_2	s02_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20503612.0	0.0	51.0	51.0	49.61680607284916	51.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
s03_1	s03_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24361259.0	0.0	51.0	52.0	45.84411299479079	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
s03_2	s03_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24361259.0	0.0	51.0	53.0	48.569304305542836	51.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	pass	pass
s04_1	s04_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20263886.0	0.0	51.0	51.0	47.574536505047625	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
s04_2	s04_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20263886.0	0.0	51.0	52.0	50.32980293972443	51.0	pass	pass	warn	pass	warn	fail	pass	pass	warn	warn	pass
s05_1	s05_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16892082.0	0.0	51.0	51.0	48.496473737249055	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
s05_2	s05_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16892082.0	0.0	51.0	52.0	53.43410082273211	51.0	pass	pass	warn	pass	warn	warn	pass	pass	warn	pass	pass
s06_1	s06_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19250338.0	0.0	51.0	52.0	38.86479540435519	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
s06_2	s06_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19250338.0	0.0	51.0	53.0	41.53762236060079	51.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
s07_1	s07_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17939163.0	0.0	51.0	51.0	51.33973711949235	51.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
s07_2	s07_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17939163.0	0.0	51.0	52.0	54.46501498983556	51.0	pass	pass	warn	pass	warn	warn	pass	pass	warn	pass	pass
s08_1	s08_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20672930.0	0.0	51.0	52.0	46.68145484634652	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
s08_2	s08_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20672930.0	0.0	51.0	53.0	47.61668827248553	51.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
s09_1	s09_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19417093.0	0.0	51.0	51.0	48.543795144186475	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
s09_2	s09_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19417093.0	0.0	51.0	51.0	51.276089564268275	51.0	pass	pass	warn	pass	warn	warn	pass	pass	warn	pass	pass
s10_1	s10_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17611265.0	0.0	51.0	53.0	24.20347839032669	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
s10_2	s10_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17611265.0	0.0	51.0	53.0	26.320974611838317	51.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
s11_1	s11_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25047481.0	0.0	51.0	52.0	45.251274298788836	51.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
s11_2	s11_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25047481.0	0.0	51.0	53.0	48.34860050676523	51.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	pass
s12_1	s12_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18938134.0	0.0	51.0	51.0	46.17048330631346	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
s12_2	s12_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18938134.0	0.0	51.0	52.0	49.48348013943075	51.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
s13_1	s13_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18416032.0	0.0	51.0	53.0	38.124762601682285	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
s13_2	s13_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18416032.0	0.0	51.0	54.0	38.20280115819517	51.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
s14_1	s14_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18676668.0	0.0	51.0	52.0	37.41378633063182	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
