Sample	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity
SRR7443455	23543548.0	4086313.0	2159481.0	359056.0
SRR7443456	25777462.0	2265185.0	2272335.0	372531.0
SRR7443457	23082207.0	2493740.0	1304377.0	350943.0
SRR7443458	25827194.0	2267408.0	1651504.0	413759.0
SRR7443459	24499302.0	2349071.0	1339094.0	368604.0
SRR7443460	20739083.0	5203190.0	1805770.0	403367.0
SRR7443461	22696447.0	3699321.0	1538525.0	380813.0
SRR7443462	24124992.0	2854326.0	1427203.0	360374.0
SRR7443463	26435936.0	3502007.0	2021574.0	399309.0
SRR7443464	20767768.0	2094133.0	1909387.0	336097.0
SRR7443465	27548785.0	2174252.0	1411354.0	349345.0
SRR7443466	20613389.0	1957265.0	1323648.0	290892.0
SRR7443467	22992466.0	3679996.0	2114530.0	342974.0
SRR7443468	24173089.0	3251023.0	1868896.0	365931.0
SRR7443469	21458781.0	3592445.0	2203879.0	399303.0
SRR7443470	19866282.0	2682910.0	2065506.0	349275.0
SRR7443471	21579310.0	2836414.0	1859120.0	399630.0
SRR7443472	23634498.0	2332186.0	1434657.0	317198.0
