Sample	mRNA	tRNA	lnc_RNA	snoRNA	snRNA	pre_miRNA	SRP_RNA	rRNA	ncRNA	RNase_MRP_RNA	pseudogenic_transcript
SRR7443455	23428279.0	449.0	82179.0	1267.0	206.0	79.0	1631.0	339590.0	179.0	1.0	96.0
SRR7443456	25921177.0	442.0	68411.0	2394.0	222.0	301.0	396.0	123553.0	750.0	0.0	20.0
SRR7443457	23171070.0	544.0	62377.0	2161.0	249.0	337.0	719.0	144948.0	725.0	0.0	89.0
SRR7443458	25977102.0	721.0	68982.0	2620.0	314.0	346.0	361.0	139728.0	562.0	3.0	179.0
SRR7443459	24565134.0	583.0	57334.0	1956.0	273.0	160.0	386.0	195436.0	547.0	0.0	141.0
SRR7443460	20543053.0	767.0	105705.0	1861.0	221.0	601.0	2347.0	441760.0	389.0	2.0	75.0
SRR7443461	22616095.0	603.0	85547.0	1503.0	213.0	131.0	962.0	323511.0	72.0	3.0	77.0
SRR7443462	24142298.0	532.0	70656.0	1823.0	216.0	176.0	805.0	223263.0	236.0	1.0	84.0
SRR7443463	26435181.0	412.0	97533.0	1951.0	333.0	159.0	854.0	249670.0	1216.0	1.0	221.0
SRR7443464	20873433.0	397.0	63098.0	1771.0	217.0	976.0	216.0	128995.0	624.0	1.0	185.0
SRR7443465	27633928.0	381.0	54816.0	1775.0	218.0	385.0	217.0	165409.0	895.0	0.0	27.0
SRR7443466	20666965.0	335.0	59685.0	1502.0	138.0	496.0	230.0	139984.0	951.0	0.0	21.0
SRR7443467	22949443.0	360.0	67733.0	1166.0	167.0	115.0	1006.0	274084.0	407.0	0.0	60.0
SRR7443468	24179397.0	406.0	86406.0	1766.0	179.0	239.0	950.0	223054.0	574.0	0.0	50.0
SRR7443469	21452370.0	438.0	79112.0	1867.0	124.0	903.0	501.0	287940.0	909.0	0.0	22.0
SRR7443470	19920548.0	466.0	73851.0	1912.0	162.0	2236.0	351.0	183397.0	854.0	1.0	26.0
SRR7443471	21673099.0	392.0	68429.0	1652.0	121.0	852.0	408.0	202483.0	942.0	2.0	12.0
SRR7443472	23685861.0	417.0	59585.0	2320.0	178.0	562.0	371.0	157302.0	890.0	0.0	24.0
