Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR7443455	113.06756624907592	130.82894637424866	143.72888869711974	149.6003726862777	151.96114406443684	154.6711045594355	156.71994231924953	158.36423704755137	159.25173029158537	158.65160742993268	156.86552450517883	156.53599461498334	155.75631128694445	156.86566541273407	157.20306373631468	158.83900970812994	158.46704550399818	158.20131258008664	157.90942705633415	157.94518110467737	157.21628864446265	158.68898319204726	158.9593143557169	161.6360716140575	162.40547982884888	162.73161617780403	163.15111693411936	162.5436165318211	162.49751916024965	162.70562598441418	164.9276703816838	168.49447298637403	172.0351652062119	174.43655931159353	172.8086902553153	173.57112334918136	173.57748406035745	174.61511986238435	176.7521509260761	180.7127558499083	184.33444975088528	186.56919772264416	187.96460756071602	190.46597182413092	190.9148064839033	190.50523719062164	194.79985731952107	199.03334605469402	201.1482531684139	200.5105010605726	201.4575213299092	203.3968449785668	207.1425103458166	212.0502120212078	215.87736665436367	219.57220862934668	222.30602866561503	225.19410770110932	225.86223313146405	227.5789441775897	229.84663416608615	233.05186184675952	237.46350994143373	241.41119635505942	245.85360410224268	249.26073524844867	255.28727837801432	260.6978250833309	267.6250349064936	277.168343097141	285.58589501408153	294.9365691430339	299.9558400202679	305.85460606754924	312.29735159774583	321.33448465460526	328.3817734123728	337.23022075455094	345.5952342454121	354.47286542659964	362.2905997554437	374.6657110476794	385.88859617794583	397.296314326957	407.99644953068315	413.10304448334125	420.02344498055265	426.87345429186536	432.82862504598086	437.57571943079404	436.3554832658787	430.2120790348167	426.1504571121049	421.30608143765267	411.9103429907558	381.0344305626977	328.5411002410679	251.34838500047653	147.3699248305897	44.47219440984962
SRR7443456	279.0435033808303	320.8857758440848	343.28439389337615	351.8486893911229	359.5529600049809	366.1903610341587	376.857119967799	381.19309314244117	384.4480188341356	383.18486098160867	384.7674959920467	382.97479041389926	380.85977338187536	377.98692230459443	377.15074806597386	377.76287010441376	375.04669169860034	373.1570562058601	374.27531416999364	376.53971151271827	380.59938912766364	381.30319636485314	377.84178000477385	376.3856230014221	377.8368255131578	377.6992453879182	381.87721356163405	385.5536538967267	388.1752108336547	390.46589721644983	389.8403241503623	392.28962595866085	390.68544642831756	388.3004710191379	388.1515580995905	391.2821757562495	395.1271557031574	397.6696379592035	400.57942970266504	402.8242037675196	404.11937260606726	403.9498613830621	406.98466032575624	408.6689357452893	409.95509852628214	411.8311558505564	417.17357311489343	423.3248489844034	428.39992843158797	428.2580713905879	430.3045462356996	429.47132908074724	429.96974905058437	432.86165020782056	438.0749903962662	443.4089339693056	448.23564119150456	449.6917791177053	450.7161713520316	450.84315752589646	455.55361936633733	458.7409802910822	461.31088971721	465.61800862250715	468.8128315439128	471.23002800881375	474.7252607200105	479.095854161201	480.71152730203556	482.8973787054039	490.2774223451358	497.4107487032772	503.479450226207	510.14499452674687	516.1445167404455	520.0815486379936	529.4477362003574	536.6924062939809	546.9429516926427	550.362607228468	553.6408141142089	556.4964959286515	559.3129054273752	564.9240254853484	566.685800379073	565.0610186520165	564.0765155941576	562.2072886135136	555.6807127953413	549.5881034418413	536.5990367408297	518.5621159208176	499.18067107662654	475.5964272659717	442.91380322390404	399.490527450338	336.2693700227225	255.4746919496653	150.0613238484278	44.91223814977221
SRR7443457	265.4019507251981	296.840198771143	314.53889696505365	325.219215067489	329.4758580870931	335.65947994527227	342.73799826193664	350.71057495489646	352.8449633551497	357.6378105191825	362.1493927450289	362.05432517601224	362.37984697784685	365.88842347602986	368.98409838194425	371.5579754858327	373.20741274897716	375.45524199752475	376.1525941137241	376.36621592798775	381.85687665442765	388.9819140645097	394.9371362535599	397.44002937224167	398.97023875546347	401.7916405240309	405.2875449218593	409.3210161808373	411.852596191783	414.4308806367605	418.0581742892371	418.7288074677496	422.85725748501403	426.3366267948157	430.6525094137913	435.0041920728251	441.3917055396498	444.3684670804523	448.9740024500085	456.3608313123839	464.4385025578555	466.4894550165998	467.6084260964059	469.45915284771104	474.2717545597294	478.1210121401019	481.52762186539826	483.7137483700103	488.99071365177167	495.8064600535662	502.2074383059005	507.8758865797407	512.9978724052145	518.05494326258	522.7483374179352	529.4666676506222	534.5547325450906	537.4257857206206	539.5031739886062	547.6334827167772	561.9857147526652	574.035272241915	585.9525339919231	595.4312388566849	607.6227689598347	619.7403968052187	632.2034840510415	642.7217147578739	654.4900535111419	664.2701576973807	677.7597932239036	689.2245794300322	707.8914817556121	721.1441837405328	732.8787248480384	743.2115162003317	756.1223295954468	769.1539434579414	780.4236678316253	795.4760205041722	810.5034778508061	828.8387787719457	848.3033979921	862.5087582277548	871.8912325282871	883.0159844259985	895.5759584581782	904.0169641805694	910.3879194195397	919.3347523782503	918.4070661250067	909.6914916607002	896.7984137876376	871.5350023014201	828.7432053290224	765.1808591010072	655.9765419586854	496.5569434387699	289.1589043980905	85.0797174092935
SRR7443458	317.7588949153393	360.9120409599379	383.73009016381945	400.07361734954213	408.18834085220163	414.94547153659653	422.5452397975245	428.6738269150839	432.35113031438124	435.60911585930694	439.47138724630594	439.7463348948161	440.3038340073774	439.9125083980203	444.1785341981311	452.40992643552903	455.3139060301412	459.1740006538197	462.86488164419904	469.61698271157763	475.81813973036765	478.35548115996346	480.6951903092699	484.29230625531017	485.75812470603563	485.21165551993187	488.79643980605954	491.6812935414045	493.5859705276997	499.0710551757694	501.0479016221774	502.1643054345064	503.86832441984853	507.15598928807833	509.4979341692871	513.0563377495021	518.7964441780598	520.8958935879966	523.453275891127	528.5984910591224	536.8774036958102	545.1053931352565	549.0858150275408	551.4128415425774	555.3965964381017	559.7679699422742	567.682137968783	575.3049360073352	579.628771027843	580.1778258937486	586.7715077691133	594.1920995396337	599.8976130989776	602.924212587304	610.73952569463	617.3278731974845	624.1313886762734	626.9131122607301	631.4381261973846	642.2724504560741	654.2634468061151	666.2729555618446	676.1248655561285	681.9019991725601	688.6590724137875	694.477353299473	702.6304371128091	713.7620852604737	721.1386435707931	731.3575906067139	737.0585257286727	745.8587407761642	757.8578640390608	767.0008681452483	776.755973284958	790.2343267052515	801.9635108979938	811.497794186465	825.5326108221077	837.5712628929022	853.1298634249619	872.3054674764471	890.3662429304352	905.0947169047668	916.9388215522531	920.9141337611196	927.0627333560712	929.8186651847213	923.6457248521286	912.0228004502519	904.4951941147417	892.4503747786273	872.192553517987	836.8593645001516	785.8774110421452	721.5526354233632	618.4321944399069	478.41243991496293	284.9066997821569	84.73431244772374
SRR7443459	318.1889838251603	366.74848697133734	401.40524520574286	412.1003749774266	412.1097224122217	418.46902478626157	420.44641452549087	425.4411699036561	433.8770264336181	439.2907272009625	444.1808383543227	448.0803462889943	453.8415810404002	455.5876974005492	459.79808777317044	466.25641948648774	471.9491852964965	474.3676681623348	478.4792976243093	481.4551569740051	483.10489965068103	483.8991504729749	487.53932834228027	490.84427499775677	492.95358155593965	500.0629213488876	507.0949751168646	512.311215042705	513.557410196006	515.5342678767947	518.9893735666044	523.7773076539567	532.8795974958782	538.3271330921269	542.4768183816676	551.0336804615032	559.2564169745995	565.3731694648973	568.5632923272027	574.9849814397531	580.5390910764071	580.7729983880718	584.5316246345903	591.2797256071874	597.065986438368	606.1627240792285	616.7769905529581	627.3142052296577	629.8781137005162	636.3694692129515	643.4450300941833	649.9206692797496	658.1914854581591	668.8768749930259	680.6801373075601	690.3908547409798	699.47756914567	711.674865116792	722.7761357717593	734.657157379541	748.4270763694907	767.7363242243197	781.4261860972499	793.1890863054227	808.0174780089912	826.6827068409071	844.5433917867679	858.990106991452	870.787014095418	886.1375956058695	899.4482200845989	914.6187513608511	936.7482409393841	950.8426568648792	973.7248878796183	996.3532493765855	1018.804787528445	1044.655779513788	1068.2701969096013	1092.201018964981	1111.680212122722	1130.9032767305625	1149.422717849437	1172.8946659123048	1196.4988146382793	1213.584590451664	1227.5544231132303	1245.308650614502	1267.5787620927854	1287.3779626229639	1288.7460615878613	1273.9307235373742	1253.5187349753392	1221.6278151210633	1169.08792394702	1074.4000336367158	923.3021799288172	705.0486140434746	413.478777294856	122.37493791934143
SRR7443460	219.68731214323097	252.68460890593835	272.71353059532873	282.2161492532444	289.3953284974058	296.5442965340453	299.9414902979742	306.7356117188195	312.99496465680113	319.4126996933551	321.75831444923676	323.23293242747894	326.57570040915226	325.8728071529257	326.3919937779998	327.8792354587552	329.6128190273299	334.9763954694844	338.78219005861627	340.12792462413194	339.3334459064877	339.27699792444673	340.89564049361513	341.82790519308907	342.7021955098593	348.81315968439156	352.87749236117656	355.43149935101735	354.2190037692266	356.9568956610424	360.3355627829388	359.84574248448115	362.4880157311055	364.5681555621966	367.37153895814174	370.11754836543014	374.9363663163318	380.1624637998265	384.9474450728886	387.38727975216347	390.8878031036694	395.5543346485995	399.37747668308083	404.43395850800914	407.7253141465263	411.6885133431715	417.0267382321687	421.7354307279724	428.31668074006444	435.6011151040973	441.2073465820063	443.0813441507293	446.47546572733984	451.497374633198	459.6044549308548	467.6531926817626	477.85128164230633	485.0160886776315	490.31805470287514	494.8400403704898	503.56605347330236	512.7445156034156	523.8566455968039	533.7470252722427	543.5854526690142	554.4595875586716	565.0610788049839	571.8872758783709	576.1522000441621	586.1125854212593	601.9260695997615	616.144305574743	632.283954517894	647.5464664780274	665.4637811304631	679.2375789276354	689.5042646670845	704.0999126483639	719.8919014074243	733.7329773290081	744.5060908690269	754.7211093828363	773.7117020561866	794.4660519259056	816.2851982685361	831.7083444956993	842.5002460001016	851.0892367203393	854.6668572914856	856.8379746334269	859.2750691252055	856.0479522903377	847.4587006142639	823.7315591767988	783.993993064608	712.6547116128235	594.9545236548407	439.69048521188626	249.9408836362776	71.35452833792873
SRR7443461	282.9264002809618	326.6138676051856	345.63111298590997	352.0143042900977	350.26560398566556	358.1675302907901	368.5215600137578	373.4343177326157	376.27137811014126	380.4600475934385	382.6591747955804	385.4090649330906	388.96534024294283	391.1820760724651	396.31901028811643	399.333041936772	404.2063128444547	407.27740047461225	411.4503211031041	412.68964241624155	416.82827856574676	419.0562622399434	421.0994216611093	422.73257049066893	423.8362824171839	429.81577440056327	435.8852976913323	436.73500114269035	435.8718869095869	440.1574114053071	445.24504431205946	448.82015769291706	449.65208788702597	456.12726698001734	459.5382760941485	465.81097765799524	470.971280804855	474.36338150666336	478.0939003284834	485.18708940189936	492.565524834977	497.5538052429968	503.66551576211435	508.3923089968602	513.5891112637368	518.2192190173308	523.5982932746291	530.2172838918219	533.7851445617738	537.5768710589273	541.6842599725535	548.1679236430215	554.1892192830776	561.609343463493	574.944397344194	586.8885891376568	592.2259009920283	595.9228778724118	602.5862810238397	613.3832083774788	624.0986683016297	637.469128390643	649.2208752466173	658.5085440346994	668.6955015489035	677.5000351764334	691.2183681860705	710.7504308658821	731.8040525498532	742.9319135821354	755.0004505136501	768.7239222228508	784.5183752148289	802.6939477949394	823.2385185168573	845.9226383793001	861.3165839566387	871.931046592924	886.7806938790457	906.2834818995523	932.0388481859411	954.6470062662598	973.5508861760205	996.7841321896952	1017.0405733070123	1034.7174751464863	1047.8723668410337	1065.944972830096	1077.131672789691	1085.3786008799134	1082.1168921379872	1065.5336385269868	1048.4658664667147	1023.7563611980787	982.0062745080645	902.328985153999	774.3956146517567	582.8527873589742	333.50958676214157	95.69939781881456
SRR7443462	300.4106008216609	343.8585287298116	369.3948862600457	383.8530665196682	391.5928838731278	398.4321493615686	406.39880371322533	411.8880842088121	414.1498731172188	420.1258728691996	422.0741411205039	423.58163467509394	429.19530529320343	433.74202227575665	439.2593433072273	444.45501415334854	447.4712125067555	450.52411049625425	454.92560854104016	459.1286179946891	462.98356989377675	465.2287410857412	471.2211612439731	473.2071059172999	474.38637058710935	476.51505795881076	478.5906494313367	481.4443291828045	488.0794198703723	491.103912757889	497.59251756267304	503.71880551510185	509.5294569451765	513.7084273729324	518.5684299994958	525.1231923490417	529.9142750716196	535.3648859686726	545.050702734476	553.2721352719976	557.7062035545976	559.6740661795566	564.0233538304872	572.4986488428879	582.836164444355	589.4610837825405	594.4422997638201	607.0283767732996	615.2545244704995	624.017033523324	632.7783731968261	641.8669996639406	649.5806364743213	658.7680764649823	664.6777872697648	672.8890802841348	682.70142324851	692.5970534824296	702.2696460840227	716.4863332837424	730.1440341310488	741.6045569437533	754.4872814664916	767.6496453150709	772.8403056773963	784.7031143408134	797.0069165095709	812.46741981944	827.3207050205541	845.509887254483	866.3073265990942	887.9476610769981	912.4154868087076	936.3478237972303	956.0906149251975	977.3997833844595	993.9608917358248	1014.0139779275122	1036.5010247062667	1061.7637218396376	1084.4404415566917	1104.1705568156428	1127.8000122905967	1150.558502626955	1181.9666495326567	1209.5508030266867	1231.8411996908121	1253.359787593477	1268.9869252068108	1272.6268672646531	1266.8747584960379	1255.0830446684438	1236.3223750164186	1204.4988410380622	1151.1677344320851	1059.8748597279914	907.4410897922243	687.9394943186196	397.53911588869914	113.57526586672218
SRR7443463	158.132989058952	185.32645146935528	196.96342723245206	200.97576237112344	205.85939122432546	211.36796651899246	217.1269105624685	221.99806908845846	223.73553960784676	225.6261177548936	224.04696713161118	226.03397843226273	227.0915047768682	230.30820414446242	233.92213270432688	236.58153653310603	240.0082824260472	240.62858694692946	240.16579603634463	244.71511269731917	247.05688425562087	249.022741155113	247.53566398404058	246.28988531384869	244.69692049174094	247.38316572588803	251.8100565424384	256.3800132560448	258.6672866290684	261.8532748912164	263.35007559443676	263.3420341421021	264.6483603050201	266.5105810645963	267.3796173915271	268.92735473067637	269.11003217737306	269.79511377309393	274.3377764268618	278.94996195122235	284.1733913590774	287.9319765676456	290.7757745635984	292.51514787929955	295.4509915772608	299.46915484612487	301.9683398200004	304.74782412708413	306.6736631681341	310.99031621118735	314.9060358789992	318.92764369626144	325.855496957827	331.5759903551442	338.21284168391537	344.2131190575498	351.6630436130317	358.6343954759906	363.94843961865166	368.0353095251322	374.3153166879308	381.5867787818563	388.41250186711125	396.6656105735255	404.77666881246813	413.5629944174811	424.871593754232	435.23456200486385	443.16945378103884	450.7328262676769	457.6682147932702	468.25251854302695	479.46869953550464	488.8147658857921	498.5858666556136	509.3488905804543	523.0422486388061	541.2267060664834	559.1297972163478	576.2482317590296	593.3637411358651	609.5771043030377	624.7771048634829	636.9473921643884	651.4908516291698	667.8666577675501	685.2398418979972	694.2914540297414	696.3039723870006	696.6565983063697	694.416156866243	692.147494871697	692.5460355339516	677.2683209618308	641.481365262733	582.7313247614184	491.7030602177373	370.89360405263204	212.92423095723902	60.70568250816214
SRR7443464	235.2022030197751	268.28280766885297	286.8090455446976	302.91909431392963	310.09650673960476	312.9324070204534	319.2928940766686	322.74212617670673	324.23225464021897	321.6319199974507	322.4959904528976	323.38698528133045	323.4126738729707	324.8151511991636	326.44558423612375	332.76326881978565	338.17232732882906	341.3995470872464	343.9274849227472	345.306860047933	343.71352571945044	346.0366751889928	349.00159804619693	351.3706088780752	352.0190463583467	353.0543412446512	354.10434478612393	358.2823202626859	362.22728086242773	364.4501493007539	366.3129121331658	366.89895444254324	369.7105674250407	373.5208276061308	378.1732071173041	381.8291250724173	383.10101249274084	382.6526598663968	385.8928782749223	390.5240341766931	397.30460545913195	401.3035362964615	402.28243600154406	402.93629227199284	403.8135512868913	411.560424055753	416.9425603705704	421.6008187606807	429.7915525416074	436.66414075967634	440.25032024728233	443.5130311730485	448.3687158180635	453.2756115821481	456.67904233996813	463.2156693226507	469.99457173348014	477.3105692882274	486.69404632065834	497.1436428280981	504.37899629630715	508.78321373738765	514.9376552637949	520.597691575625	528.8405561743833	537.3955631281452	545.212410629949	557.0027758108592	567.6582883601668	577.5417964380813	586.5170482526546	595.6447526795389	604.0705132547546	612.9775690123784	622.0933904666027	630.8179634364973	642.128384984792	653.3135507700229	660.9287523820328	671.8130325446209	686.2262453905118	696.4576855898034	710.0830662297802	720.2148559470538	730.5736429728508	739.4354687341954	744.9019986367055	749.2303425668821	747.7758534455693	742.1740742726987	730.2879169751591	716.4485359020042	702.4096169859868	676.6762538033943	642.8462442059052	592.2026601835317	513.0764690523526	392.24889666672925	225.7505366134537	65.16043972343941
