Sample	Exonic	Intronic	Intergenic
SRR7443455	83646.0	28530.0	43382.0
SRR7443456	144178.0	66264.0	88146.0
SRR7443457	181928.0	62790.0	73384.0
SRR7443458	199490.0	81524.0	90348.0
SRR7443459	233298.0	77484.0	84944.0
SRR7443460	160366.0	56250.0	65756.0
SRR7443461	200896.0	68628.0	77126.0
SRR7443462	222978.0	70462.0	81528.0
SRR7443463	128086.0	46858.0	66624.0
SRR7443464	156494.0	64148.0	90102.0
SRR7443465	199442.0	71436.0	84976.0
SRR7443466	179776.0	64322.0	79476.0
SRR7443467	74526.0	25964.0	38526.0
SRR7443468	123844.0	47362.0	60310.0
SRR7443469	100908.0	40608.0	57718.0
SRR7443470	158066.0	59850.0	82090.0
SRR7443471	161342.0	57794.0	76294.0
SRR7443472	185506.0	71556.0	84266.0
