Sample	Sense	Antisense	Undetermined
SRR7443455	48.54	49.769999999999996	1.69
SRR7443456	47.88	48.74	3.38
SRR7443457	48.24	48.61	3.15
SRR7443458	47.510000000000005	47.83	4.67
SRR7443459	48.64	49.82	1.54
SRR7443460	47.760000000000005	48.78	3.46
SRR7443461	48.79	49.36	1.8499999999999999
SRR7443462	48.89	49.27	1.8399999999999999
SRR7443463	48.96	49.47	1.5699999999999998
SRR7443464	48.35	48.94	2.7199999999999998
SRR7443465	48.82	49.79	1.39
SRR7443466	49.0	49.480000000000004	1.51
SRR7443467	48.199999999999996	49.88	1.92
SRR7443468	48.730000000000004	49.45	1.82
SRR7443469	48.27	48.67	3.06
SRR7443470	48.120000000000005	48.99	2.8899999999999997
SRR7443471	48.19	48.82	2.98
SRR7443472	48.6	49.6	1.7999999999999998
