Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRR7443455_1	36577894	11224777	5486684100	23099884	5427765439	1.0738482465210637
SRR7443455_2	36577894	11117273	5486684100	204383494	5245928993	4.387989222853198
SRR7443456_1	35675663	10561400	5351349450	18578560	5305980262	0.847808359814738
SRR7443456_2	35675663	10415980	5351349450	190521194	5133168504	4.077120136491928
SRR7443457_1	31752866	9822068	4762929900	15929572	4717459172	0.9546797654947641
SRR7443457_2	31752866	9714612	4762929900	158079011	4575394756	3.937390386534977
SRR7443458_1	36188054	11187606	5428208100	17666752	5377592140	0.9324616718360521
SRR7443458_2	36188054	10866818	5428208100	280499583	5117366136	5.726419442172824
SRR7443459_1	33852666	10637665	5077899900	17831480	5024727299	1.0471376365650689
SRR7443459_2	33852666	10495319	5077899900	195403299	4847011202	4.546932837333008
SRR7443460_1	33069034	10076492	4960355100	17745628	4912539921	0.963946694058254
SRR7443460_2	33069034	9945335	4960355100	182778346	4746843306	4.304365104828886
SRR7443461_1	32977254	10197406	4946588100	16355151	4897496756	0.9924283770463928
SRR7443461_2	32977254	10173540	4946588100	81520676	4830856185	2.3396311287774294
SRR7443462_1	33632643	10449637	5044896450	16245594	4996222240	0.9648207942900394
SRR7443462_2	33632643	10402827	5044896450	92241191	4918441436	2.5065928558355246
SRR7443463_1	38511295	11644953	5776694250	21797374	5721000151	0.9641171332548888
SRR7443463_2	38511295	11507524	5776694250	214090345	5528552831	4.295560891075375
SRR7443464_1	29705900	8931194	4455885000	15432815	4414331591	0.9325511991445021
SRR7443464_2	29705900	8777499	4455885000	170183258	4259827047	4.399977849518109
SRR7443465_1	36116676	10922718	5417501400	17394093	5367866654	0.9161925828021014
SRR7443465_2	36116676	10825520	5417501400	97047083	5286834124	2.4119472493352747
SRR7443466_1	28024160	8475070	4203624000	13275342	4165720324	0.901690446148371
SRR7443466_2	28024160	8390460	4203624000	71646483	4106108606	2.319793444894215
SRR7443467_1	34378992	10755760	5156848800	20536264	5098486645	1.1317406668971952
SRR7443467_2	34378992	10705749	5156848800	92094754	5025443325	2.548173896430704
SRR7443468_1	35216285	10708271	5282442750	19563480	5231922039	0.9563891818799173
SRR7443468_2	35216285	10588341	5282442750	189069574	5061537557	4.181875761928513
SRR7443469_1	32586974	9747772	4888046100	17974486	4840890238	0.9647180291527937
SRR7443469_2	32586974	9677447	4888046100	88798284	4768385341	2.448028446376559
SRR7443470_1	29405906	8879267	4410885900	14834762	4369458308	0.93921250604102
SRR7443470_2	29405906	8776198	4410885900	84897107	4298167970	2.5554487818422147
SRR7443471_1	31115571	9346389	4667335650	15557189	4621479894	0.9824825004818327
SRR7443471_2	31115571	9229800	4667335650	89001639	4546921916	2.5799244586148418
SRR7443472_1	32006339	9781715	4800950850	15470535	4756025552	0.9357583404545788
SRR7443472_2	32006339	9719278	4800950850	83724759	4686423977	2.3855039674067897
