Sample	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
SRR7443455	36512837	6364439	26062085	4086313	0	12728878	12728878	0	0	82.57
SRR7443456	35623056	4935543	28422328	2265185	0	9871086	9871086	0	0	86.15
SRR7443457	31710818	4479551	24737527	2493740	0	8959102	8959102	0	0	85.87
SRR7443458	36057068	5897203	27892457	2267408	0	11794406	11794406	0	0	83.64
SRR7443459	33785495	5229424	26207000	2349071	0	10458848	10458848	0	0	84.52
SRR7443460	33010395	4858985	22948220	5203190	0	9717970	9717970	0	0	85.28
SRR7443461	32925665	4610559	24615785	3699321	0	9221118	9221118	0	0	86.0
SRR7443462	33573716	4806821	25912569	2854326	0	9613642	9613642	0	0	85.68
SRR7443463	38445705	6086879	28856819	3502007	0	12173758	12173758	0	0	84.17
SRR7443464	29655974	4548589	23013252	2094133	0	9097178	9097178	0	0	84.66
SRR7443465	36061294	4577558	29309484	2174252	0	9155116	9155116	0	0	87.31
SRR7443466	27984757	3799563	22227929	1957265	0	7599126	7599126	0	0	86.42
SRR7443467	34318676	5188710	25449970	3679996	0	10377420	10377420	0	0	84.88
SRR7443468	35164698	5505759	26407916	3251023	0	11011518	11011518	0	0	84.34
SRR7443469	32532567	4878159	24061963	3592445	0	9756318	9756318	0	0	85.01
SRR7443470	29355640	4391667	22281063	2682910	0	8783334	8783334	0	0	85.04
SRR7443471	31063178	4388704	23838060	2836414	0	8777408	8777408	0	0	85.87
SRR7443472	31960981	4242442	25386353	2332186	0	8484884	8484884	0	0	86.73
