Sample	pe_sense	pe_antisense	failed
SRR7443455	0.4854	0.4977	0.0169
SRR7443456	0.4788	0.4874	0.0338
SRR7443457	0.4824	0.4861	0.0315
SRR7443458	0.4751	0.4783	0.0467
SRR7443459	0.4864	0.4982	0.0154
SRR7443460	0.4776	0.4878	0.0346
SRR7443461	0.4879	0.4936	0.0185
SRR7443462	0.4889	0.4927	0.0184
SRR7443463	0.4896	0.4947	0.0157
SRR7443464	0.4835	0.4894	0.0272
SRR7443465	0.4882	0.4979	0.0139
SRR7443466	0.49	0.4948	0.0151
SRR7443467	0.482	0.4988	0.0192
SRR7443468	0.4873	0.4945	0.0182
SRR7443469	0.4827	0.4867	0.0306
SRR7443470	0.4812	0.4899	0.0289
SRR7443471	0.4819	0.4882	0.0298
SRR7443472	0.486	0.496	0.018
