Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
SRR7443455	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	174136	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	36512837	17967716	0	79131	7720065	511842	49.209312330345625	quant	Thu Jan 30 14:41:39 2020	Thu Jan 30 14:51:12 2020
SRR7443456	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	213827	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	35623056	21596916	0	61466	7013329	524225	60.62623038292953	quant	Thu Jan 30 14:38:50 2020	Thu Jan 30 14:45:14 2020
SRR7443457	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	178444	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	31710818	17487871	0	90368	7220676	459453	55.14796559331897	quant	Thu Jan 30 14:19:21 2020	Thu Jan 30 14:26:17 2020
SRR7443458	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	210228	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	36057068	21401563	0	100333	7543044	609019	59.35469572844914	quant	Fri Jan 31 02:44:47 2020	Fri Jan 31 02:52:38 2020
SRR7443459	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	211194	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	33785495	19427392	0	86597	7487907	590070	57.50216772020064	quant	Thu Jan 30 14:35:35 2020	Thu Jan 30 14:42:31 2020
SRR7443460	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	181478	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	33010395	16518206	0	68865	6728110	427875	50.03940728367534	quant	Thu Jan 30 14:31:24 2020	Thu Jan 30 14:44:32 2020
SRR7443461	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	199464	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	32925665	17817589	0	69234	6852424	497828	54.11459115556209	quant	Thu Jan 30 14:30:04 2020	Thu Jan 30 14:38:50 2020
SRR7443462	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	219870	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	33573716	19205385	0	66765	7158582	570592	57.20363215081703	quant	Thu Jan 30 14:44:05 2020	Thu Jan 30 14:51:36 2020
SRR7443463	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	188815	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	38445705	20634477	0	68542	8463459	526157	53.67173524324759	quant	Thu Jan 30 14:53:17 2020	Thu Jan 30 15:03:46 2020
SRR7443464	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	192224	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	29655974	16977142	0	54993	6161982	432694	57.24695469452462	quant	Thu Jan 30 13:59:09 2020	Thu Jan 30 14:07:30 2020
SRR7443465	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	216277	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	36061294	22810396	0	73323	7254275	551980	63.2545132739829	quant	Thu Jan 30 14:45:29 2020	Thu Jan 30 14:52:48 2020
SRR7443466	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	191349	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	27984757	16568760	0	55563	5931783	404921	59.20637438445509	quant	Thu Jan 30 14:12:44 2020	Thu Jan 30 14:20:06 2020
SRR7443467	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	172195	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	34318676	17783133	0	74204	7149105	487060	51.81765462047545	quant	Thu Jan 30 14:26:51 2020	Thu Jan 30 14:34:24 2020
SRR7443468	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	194345	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	35164698	19160320	0	80350	7481914	519863	54.4873725348075	quant	Thu Jan 30 14:36:10 2020	Thu Jan 30 14:42:50 2020
SRR7443469	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	170848	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	32532567	17062789	0	57642	6762419	413156	52.44833277374023	quant	Thu Jan 30 14:33:20 2020	Thu Jan 30 14:41:10 2020
SRR7443470	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	189335	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	29355640	15880974	0	53179	6180517	416167	54.0985446067604	quant	Thu Jan 30 14:14:32 2020	Thu Jan 30 14:20:00 2020
