Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151
BR701_1 - Adapter 1	4594624	1790354	737356	410102	364917	330119	291529	289707	256826	247898	231281	223709	206206	199693	186792	171616	162758	146657	121882	115975	109596	97202	94985	91206	84028	75225	73769	66102	62018	58612	50327	50365	48429	48018	45444	44130	41200	40109	36781	35256	32829	32133	33705	29871	31784	27031	50883	6195	19342	65457	14878	4335	24245	20528	5136	15636	35971	6653	4357	2732	13666	1003	1966	11613	1429	1284	2864	8464	664	2140	1878	1349	230	610	1973	2658	2372	2353	2136	1962	1761	1581	1360	1290	1199	1130	1204	1070	934	877	790	637	611	471	477	470	446	379	452	437	314	318	238	224	188	162	148	141	180	155	124	123	79	91	77	78	99	59	44	73	33	40	42	33	40	38	51	9	26	15	48	35	42	30	26	34	22	31	33	14	18	44	29	30	27	68	40	108	101	282	28261
BR701_2 - Adapter 1	5043522	1861862	819661	426207	369750	332329	293366	305923	235260	247368	222447	222208	206346	211501	162850	170239	161653	129682	127927	122795	96341	97587	92548	87902	88626	75085	67395	68778	55382	58389	49682	50175	48094	52563	44303	36399	59163	36353	30322	24339	32457	45915	15869	43657	15449	50202	31705	11960	55525	5257	15604	4080	7858	4033	15638	23810	4395	13250	35576	5912	3320	19188	3387	1882	14427	13434	1621	3131	1406	891	1660	2067	861	792	882	815	854	1442	1694	1669	1574	1411	1200	1199	1113	1062	1085	988	876	799	740	657	584	456	486	435	409	376	400	390	302	307	226	206	194	182	139	153	155	154	133	113	120	115	104	111	69	76	63	58	62	44	109	68	51	63	42	22	29	72	27	42	52	36	25	29	61	59	40	36	24	49	23	50	38	69	28	103	54	40	54
BR702_1 - Adapter 1	3888075	1522424	622662	332323	297137	267637	236491	237278	218606	206086	192714	185298	166794	160105	147389	135879	128838	119005	99549	95857	90907	79968	77970	72716	65930	59322	58674	52468	50518	48706	42114	42463	40142	38987	35378	36108	32426	32113	30063	28207	28571	26042	25243	25327	24892	23388	36231	5250	13062	17912	18303	12165	14591	14191	12550	11208	13470	9713	9892	10712	8920	5061	3732	9771	5069	4554	2963	9244	3584	4442	1800	813	408	834	1939	2080	1976	1816	1682	1511	1341	1258	1085	1047	951	914	916	794	781	652	551	524	505	416	382	359	374	367	352	347	288	226	190	175	142	132	135	124	161	113	113	121	101	71	93	73	92	43	58	49	48	29	25	25	36	39	55	25	32	33	29	39	38	23	16	36	28	25	26	14	21	39	15	32	11	46	39	78	34	41	20173
BR702_2 - Adapter 1	4243211	1613301	690623	350336	301815	270169	238049	251559	200933	209902	184650	182128	172526	161707	136524	139616	119937	113859	106782	96714	85568	80736	76375	73565	70633	57790	52962	55719	45180	46449	43922	40949	39393	38319	37391	39481	27237	30946	31126	29389	29278	25175	24050	29488	19818	73967	22135	8176	23773	3838	12930	2777	5046	2690	12091	17489	4613	9750	19950	5382	4513	14639	4665	1736	10493	14468	2145	2425	1485	731	1153	1417	550	531	641	626	664	784	1123	1203	1162	1101	999	972	897	822	840	736	737	655	510	545	514	414	374	358	356	357	342	326	292	248	185	168	138	174	135	128	166	119	112	104	117	98	101	93	75	70	72	48	54	56	74	61	25	39	24	40	18	59	22	31	43	23	16	32	35	35	25	31	30	41	20	68	47	50	25	102	40	25	45
BR703_1 - Adapter 1	4425994	1719494	715544	396033	351301	318222	281770	281290	251934	240540	224410	217651	197516	191512	177903	164176	156156	141641	119362	114284	107338	94864	92850	87913	81565	72976	71617	65539	60499	58057	50631	51243	48682	47089	46627	43143	39976	39693	37666	35266	32912	32523	32299	30803	32754	27227	48139	6030	18519	24110	23990	14150	19095	18681	16318	15114	19772	13940	13611	14153	13046	6344	4566	14645	7167	6233	4476	14524	4868	6337	3049	1547	549	1195	3090	3282	3276	3034	2734	2597	2335	2107	1871	1678	1689	1526	1579	1434	1345	1200	1039	926	865	827	679	702	711	693	676	618	538	490	396	357	293	317	250	254	266	233	235	185	179	134	119	146	150	88	95	98	89	80	56	40	61	40	55	31	41	42	40	37	34	29	30	46	36	38	31	31	25	80	27	39	13	58	43	95	44	99	41473
BR703_2 - Adapter 1	4812703	1812794	793104	413308	356757	320376	285227	311348	213494	248234	210844	217007	199854	205768	156919	161200	182069	101047	146908	107334	86825	95920	90639	90875	87746	70235	62315	69092	54132	59192	48694	51093	46930	49537	42390	58892	25880	41612	37382	85936	16324	34771	6293	46299	13324	76094	19824	6311	33409	8232	9971	11471	8928	9108	16214	20685	9373	13847	20939	8901	8460	14555	8685	5293	12802	16387	6790	5775	7239	2724	3324	3270	1619	927	877	923	1067	1844	2100	2178	2051	1859	1716	1538	1588	1425	1477	1364	1277	1132	954	917	842	789	667	642	676	664	657	585	537	499	381	336	267	325	248	254	253	225	223	170	186	158	129	150	117	110	102	86	107	85	90	92	58	65	38	39	24	58	25	46	48	36	35	53	44	53	28	32	29	66	45	56	35	58	33	122	50	35	65
BR704_1 - Adapter 1	5449697	2142363	882757	491030	440765	399872	352710	352709	317764	306258	286260	276804	256639	239214	226351	208829	198941	182571	148709	144550	135957	120748	118511	110331	104224	90945	90356	81242	76416	73794	62564	62971	60315	57492	55826	55635	50669	48215	47683	42217	41410	40319	39577	36227	39003	33689	55813	7014	23375	26188	25881	20383	21764	21067	20036	17506	19744	14503	15309	16676	11445	9702	5814	13205	9076	7934	4727	13048	7390	8065	2874	1266	826	1463	3202	3219	3170	2878	2561	2411	2127	1853	1656	1588	1481	1425	1366	1377	1092	991	927	842	649	577	528	530	618	510	543	480	404	351	297	252	222	201	166	173	167	137	145	163	95	106	90	70	130	56	72	94	55	68	52	47	49	59	45	38	37	40	48	48	50	31	35	53	42	27	40	13	30	49	39	42	20	59	41	119	38	37	8367
BR704_2 - Adapter 1	6065553	2230955	986183	511575	448847	402325	353743	375706	288946	303272	275541	273448	253176	257916	198688	203741	233814	122592	185334	133187	109472	120386	114573	113079	110754	87677	77718	83947	68140	72494	61819	59688	59218	60536	57497	50171	63134	41249	56345	24241	53717	24009	38038	61326	14868	101019	26550	8774	48721	6668	13647	8086	8529	5911	19009	25760	8125	15337	28865	8437	7189	20142	7404	3513	16453	20582	4379	5019	3866	1395	2147	2504	1002	777	807	842	981	1663	1949	1965	1894	1637	1485	1445	1393	1338	1202	1285	1062	950	865	795	613	552	520	517	602	513	483	446	405	348	301	248	203	220	176	182	173	133	158	144	119	143	117	95	86	81	87	82	71	68	122	115	38	72	38	39	25	85	32	65	71	37	31	44	59	95	57	50	28	53	32	53	40	78	34	135	62	37	78
BR705_1 - Adapter 1	3722784	1461901	598637	329997	293042	264694	232851	234053	207758	199474	186872	179111	167498	158384	149335	136722	130469	118658	98022	95463	89349	79512	80361	71255	68463	60234	60540	53965	51545	49295	41323	42887	39928	39959	38974	36269	35064	34628	32025	29427	29174	27751	27065	27637	28195	22088	40825	5164	17199	22181	20171	11585	16931	16468	14309	13616	19933	11754	12313	11723	11464	5134	3620	13698	6474	4828	3886	13270	3695	5381	2817	1423	452	1130	2754	3022	3088	2823	2821	2407	2084	1934	1781	1591	1606	1523	1422	1315	1189	1184	984	885	780	668	665	645	649	548	577	568	496	441	345	298	286	213	182	228	215	181	201	157	124	104	100	108	107	94	91	81	61	42	41	26	39	29	43	15	28	22	29	31	22	16	13	30	18	13	28	14	21	54	19	27	22	48	31	76	41	78	25231
BR705_2 - Adapter 1	4100989	1526981	678735	336526	297721	266088	232926	245164	193392	199518	180460	177718	167692	170388	131210	134931	151703	83551	117896	90150	74613	79607	76168	73090	72008	58965	56014	54905	47644	47080	43172	40599	39681	40535	37381	36295	35103	32802	40508	28478	22393	25783	26293	34327	16602	30642	28114	15979	51281	6229	17635	5471	9344	5297	14974	22216	4484	12619	40757	5642	2391	20585	2672	1758	15535	11241	1436	2864	1702	1358	2006	2611	1194	1136	1338	1110	1301	1673	2238	2080	1857	1721	1625	1476	1495	1415	1350	1190	1079	1096	887	848	746	631	633	592	633	519	558	555	471	454	341	278	264	209	181	226	227	187	207	141	144	119	108	127	99	104	103	68	83	41	86	63	43	35	30	26	16	39	23	22	29	26	17	37	27	28	28	32	26	54	31	29	28	45	30	63	32	24	56
BR707_1 - Adapter 1	4912917	1933288	804957	445451	396227	360620	322853	323295	293534	279809	261102	251051	228510	219184	204812	187013	177058	166400	136585	133551	124848	110593	106451	99124	91468	80911	79464	72225	67156	65209	56420	60168	50650	56618	61196	52859	16860	42516	40619	37328	36766	36026	32088	31998	32557	30739	45902	8130	19249	22497	23441	16400	18767	18125	16427	14747	16356	12734	12472	13050	11316	7213	5006	11763	6657	6132	3879	11417	5294	5880	2121	982	537	1148	2504	2523	2461	2225	1991	1833	1611	1358	1275	1237	1104	1065	1014	903	834	760	634	630	506	461	381	415	424	384	347	353	316	292	253	171	185	150	153	147	157	132	128	114	81	74	70	87	97	61	66	59	53	40	43	23	27	30	52	30	37	29	18	36	37	17	17	27	27	18	28	12	22	38	13	22	8	36	21	71	35	30	10573
BR707_2 - Adapter 1	5386630	2040633	899579	468797	401566	361555	327223	353930	255013	286998	247278	251733	228832	236655	180785	182700	213655	112258	172539	125026	99848	111286	104269	103820	98937	79138	65905	78878	57565	71831	48673	60456	46744	50958	49348	54534	74060	20219	40371	80911	19033	25957	12386	41987	19166	74960	27023	9260	37964	5267	13137	6687	6858	5249	15992	22648	6371	13035	23888	6902	6448	16826	6544	2839	13985	17199	3414	3516	3167	976	1601	1961	718	574	645	616	759	1217	1517	1586	1416	1237	1147	1169	1050	987	934	837	791	732	588	613	529	437	398	417	402	399	336	346	311	274	251	163	189	160	160	169	160	135	116	105	101	95	94	124	60	64	84	54	72	53	83	59	36	49	23	32	40	66	22	36	26	21	31	31	35	45	41	27	20	29	19	37	18	46	21	97	40	27	39
BR708_1 - Adapter 1	3782461	1502408	618305	341928	304274	276824	245921	245782	224305	216071	200409	193683	176059	169964	156849	144420	137504	125869	106447	103273	96383	85904	84158	76739	71638	63423	63058	57184	54201	52828	45440	46572	43224	51083	29622	38907	37218	33050	34118	30599	31369	27939	28665	27488	29469	22857	41694	5195	16634	21148	20827	13616	16880	16611	14398	13297	17598	11458	12451	12710	10555	6013	4106	12704	6702	5368	3769	12572	4438	5632	2484	1185	506	1202	2780	2896	2838	2603	2395	2093	1873	1625	1530	1466	1413	1264	1363	1132	1005	993	821	813	708	598	559	506	556	497	460	459	423	336	263	252	197	197	157	179	158	156	140	162	94	77	64	78	73	54	47	65	56	33	36	31	42	32	45	20	27	24	31	26	27	19	24	34	30	17	22	18	16	44	26	47	16	47	24	76	28	29	6000
BR708_2 - Adapter 1	4154242	1574793	691274	357918	309678	277732	249459	270674	192675	219705	189965	191719	177488	183330	137264	140075	165593	83789	132054	95298	77998	86234	80718	78316	75888	61384	56735	59703	48502	51420	46053	44049	45190	38755	38769	37265	36386	38897	28240	31918	65486	9573	13800	42054	11232	65938	27967	7360	30582	9005	9093	9575	7494	7433	13574	17104	8579	11681	17053	8277	7558	12186	7951	4899	10009	13961	7155	5762	6726	2619	2774	2507	1181	800	639	620	692	984	1416	1600	1531	1396	1323	1342	1312	1161	1247	1022	942	937	770	806	688	581	533	470	525	480	448	426	407	338	247	242	193	195	165	177	159	158	148	141	110	88	98	89	59	63	59	54	64	42	67	42	29	43	18	25	27	56	25	20	34	27	30	32	33	50	26	34	22	34	23	65	24	45	22	97	31	36	40
BR709_1 - Adapter 1	5875954	2314846	940835	513833	453347	407802	365303	363554	333494	318913	297268	287287	260142	249244	227825	212803	200141	183801	154108	148103	139612	124304	121129	110767	102453	89783	87823	80343	75112	72407	63022	63149	59110	58238	52759	56127	47605	44903	45113	38849	41464	37520	36054	34582	35417	32095	51342	6624	19692	24782	24902	17034	20494	20040	17671	15805	18489	13300	13291	14299	11423	7035	4804	12753	7278	6173	3968	12233	5136	5827	2221	1049	532	1141	2506	2636	2438	2293	2040	1875	1669	1458	1407	1291	1241	1133	1098	975	883	754	690	604	536	490	431	409	386	389	384	371	294	269	258	188	174	164	120	123	137	118	108	112	80	64	66	73	105	42	54	59	37	45	29	32	40	35	45	13	42	31	51	30	37	34	28	34	44	27	27	21	20	48	22	27	2	30	28	79	46	42	13176
