Sample	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity
BR701	24296198.0	1339436.0	1247414.0	330708.0
BR702	20838285.0	1153214.0	924388.0	276624.0
BR703	23526220.0	1308868.0	1206640.0	318098.0
BR704	29329520.0	1559152.0	1295317.0	387633.0
BR705	19528849.0	1067920.0	880649.0	268358.0
BR707	25831297.0	1433977.0	1238449.0	352220.0
BR708	20054096.0	1055206.0	990620.0	269334.0
BR709	30075493.0	1929595.0	1413031.0	423797.0
BR710	25215500.0	1452200.0	1298056.0	352348.0
BR711	23414331.0	3203174.0	1280035.0	371269.0
BR712	15042536.0	8259289.0	1185348.0	327458.0
BR713	24596916.0	1399759.0	1063420.0	323444.0
BR714	24083845.0	1384746.0	1083312.0	316913.0
BR715	22425266.0	1322169.0	1117438.0	307093.0
BR716	24221935.0	1405111.0	1122381.0	324766.0
BR717	24059225.0	1344888.0	996656.0	334399.0
BR718	28591393.0	1623007.0	1340298.0	410594.0
BR719	21492158.0	1210905.0	1015507.0	304506.0
BR720	27296439.0	1621140.0	1353865.0	389958.0
BR721	23226546.0	1492515.0	1052812.0	315686.0
BR722	23658320.0	1383814.0	1060562.0	311046.0
BR723	25511794.0	1563707.0	1181198.0	336301.0
BR724	22965672.0	1766346.0	1128036.0	306292.0
BR725	21329827.0	1222333.0	942855.0	278966.0
BR726	18619215.0	1120683.0	819264.0	252212.0
BR727	23191173.0	1359013.0	1051268.0	312887.0
BR729	21786604.0	1183777.0	924387.0	288913.0
BR730	21607872.0	1231047.0	1083526.0	291826.0
BR731	16875246.0	988631.0	678277.0	233811.0
BR732	19611117.0	1100405.0	792243.0	267067.0
BR733	17306438.0	863066.0	744797.0	221160.0
BR734	22790464.0	1316731.0	1156361.0	301931.0
BR735	20024215.0	990675.0	1035992.0	250829.0
BR736	18375760.0	927591.0	795273.0	227369.0
BR737	21486431.0	1171022.0	1020744.0	279893.0
BR738	23355876.0	1474591.0	1079641.0	300121.0
BR739	16751723.0	856559.0	730430.0	209798.0
BR740	16867337.0	855865.0	713263.0	209725.0
BR741	16392064.0	1428997.0	775348.0	227407.0
BR742	20492925.0	2426895.0	1014381.0	301782.0
BR743	20075128.0	1640069.0	1014699.0	282923.0
BR744	20677321.0	1077503.0	975751.0	283815.0
BR745	18023010.0	1321445.0	795155.0	242966.0
BR746	16881849.0	917398.0	824027.0	217238.0
BR747	15060816.0	915236.0	968994.0	201318.0
BR748	24378845.0	1378187.0	1102132.0	315501.0
BR749	20347792.0	1215563.0	1127704.0	268451.0
BR750	17186817.0	1050809.0	856760.0	232280.0
BR751	15917888.0	987778.0	755231.0	209846.0
BR752	13851769.0	2074483.0	684654.0	194076.0
BR753	18963140.0	1443636.0	870366.0	259945.0
BR754	20944987.0	1312643.0	1091375.0	291663.0
BR755	17168549.0	973002.0	800520.0	234888.0
BR756	21275184.0	1107989.0	1013361.0	287942.0
BR757	18641259.0	925837.0	790194.0	254964.0
BR758	18997990.0	949267.0	862269.0	259008.0
BR759	16856270.0	888890.0	915226.0	234653.0
BR760	17475974.0	919535.0	903836.0	240214.0
BR761	17233860.0	851620.0	866136.0	234369.0
