Sample	mRNA	tRNA	lnc_RNA	snoRNA	snRNA	pre_miRNA	SRP_RNA	rRNA	ncRNA	RNase_MRP_RNA	pseudogenic_transcript
BR701	24528342.0	404.0	45425.0	2434.0	119.0	237.0	145.0	3334.0	262.0	0.0	3.0
BR702	21037147.0	281.0	35812.0	1592.0	111.0	81.0	157.0	3043.0	258.0	0.0	3.0
BR703	23745932.0	409.0	48463.0	2518.0	97.0	133.0	118.0	2781.0	247.0	1.0	6.0
BR704	29610095.0	378.0	47834.0	2271.0	190.0	145.0	176.0	4623.0	288.0	3.0	8.0
BR705	19735804.0	236.0	24138.0	1619.0	95.0	41.0	107.0	3204.0	221.0	0.0	2.0
BR707	26100045.0	408.0	32162.0	2786.0	146.0	108.0	192.0	3356.0	266.0	0.0	2.0
BR708	20256106.0	336.0	27054.0	1920.0	84.0	32.0	178.0	2559.0	163.0	1.0	1.0
BR709	30395995.0	404.0	39506.0	2884.0	162.0	130.0	269.0	9785.0	263.0	1.0	10.0
BR710	25480959.0	404.0	37122.0	2983.0	137.0	203.0	121.0	4598.0	271.0	0.0	0.0
BR711	23630435.0	469.0	43994.0	2195.0	157.0	124.0	1746.0	62113.0	129.0	6.0	13.0
BR712	14982765.0	361.0	74830.0	1747.0	200.0	158.0	8609.0	246193.0	121.0	18.0	28.0
BR713	24821710.0	341.0	50014.0	1827.0	96.0	96.0	149.0	5379.0	153.0	0.0	5.0
BR714	24285118.0	305.0	66290.0	1829.0	137.0	103.0	178.0	5317.0	119.0	0.0	4.0
BR715	22627576.0	383.0	56441.0	1863.0	88.0	77.0	202.0	4977.0	130.0	0.0	3.0
BR716	24435808.0	332.0	58165.0	2061.0	123.0	103.0	166.0	5410.0	178.0	1.0	4.0
BR717	24318140.0	295.0	28060.0	2087.0	125.0	216.0	168.0	4842.0	130.0	2.0	4.0
BR718	28902180.0	369.0	40493.0	2599.0	192.0	434.0	168.0	6631.0	159.0	0.0	4.0
BR719	21732405.0	333.0	22967.0	1950.0	155.0	155.0	144.0	3479.0	141.0	0.0	3.0
BR720	27598613.0	381.0	32743.0	2957.0	271.0	324.0	208.0	5428.0	219.0	0.0	2.0
BR721	23452514.0	277.0	36063.0	1969.0	101.0	513.0	380.0	9051.0	147.0	1.0	7.0
BR722	23888895.0	335.0	32688.0	2246.0	153.0	419.0	104.0	3423.0	176.0	3.0	5.0
BR723	25756641.0	346.0	34846.0	2085.0	125.0	518.0	261.0	7675.0	129.0	6.0	3.0
BR724	23173423.0	331.0	37028.0	2172.0	111.0	353.0	592.0	14474.0	183.0	2.0	3.0
BR725	21530590.0	252.0	34256.0	1637.0	111.0	363.0	142.0	3350.0	190.0	0.0	1.0
BR726	18781131.0	264.0	52170.0	1211.0	109.0	261.0	138.0	3222.0	111.0	0.0	1.0
BR727	23400337.0	327.0	53847.0	1876.0	106.0	211.0	234.0	6259.0	150.0	1.0	2.0
BR729	22007774.0	224.0	26048.0	1526.0	117.0	177.0	94.0	2815.0	141.0	1.0	3.0
BR730	21819667.0	340.0	34846.0	2098.0	126.0	157.0	101.0	3822.0	127.0	0.0	4.0
BR731	17054104.0	185.0	25313.0	1123.0	102.0	189.0	80.0	2610.0	82.0	0.0	1.0
BR732	19820005.0	205.0	22068.0	1596.0	115.0	196.0	85.0	3161.0	103.0	3.0	4.0
BR733	17472610.0	168.0	21198.0	1270.0	153.0	99.0	152.0	1590.0	336.0	0.0	2.0
BR734	23003201.0	321.0	37062.0	1983.0	263.0	210.0	280.0	7756.0	434.0	1.0	0.0
BR735	20186168.0	314.0	47418.0	1810.0	103.0	111.0	122.0	4250.0	250.0	0.0	0.0
BR736	18542470.0	212.0	24487.0	1209.0	141.0	144.0	112.0	3832.0	318.0	4.0	3.0
BR737	21685394.0	325.0	33895.0	1630.0	208.0	100.0	465.0	5504.0	371.0	1.0	5.0
BR738	23552065.0	317.0	50329.0	1695.0	133.0	95.0	479.0	10147.0	229.0	1.0	2.0
BR739	16892000.0	188.0	37135.0	1103.0	75.0	78.0	90.0	2506.0	165.0	0.0	1.0
BR740	17003922.0	188.0	38066.0	985.0	86.0	87.0	98.0	3156.0	208.0	0.0	1.0
BR741	16554405.0	228.0	17038.0	1104.0	183.0	142.0	365.0	18346.0	241.0	1.0	3.0
BR742	20690555.0	252.0	26096.0	1827.0	178.0	191.0	1580.0	37818.0	292.0	2.0	7.0
BR743	20273401.0	284.0	26049.0	1888.0	161.0	172.0	362.0	19941.0	308.0	5.0	6.0
