Sample	PE mapped uniquely	PE multimapped	PE neither mate aligned
BR701	25874320.0	1339436.0	1125615.0
BR702	22039297.0	1153214.0	665370.0
BR703	25050958.0	1308868.0	860975.0
BR704	31012470.0	1559152.0	1539928.0
BR705	20677856.0	1067920.0	1445252.0
BR707	27421966.0	1433977.0	1654150.0
BR708	21314050.0	1055206.0	1446304.0
BR709	31912321.0	1929595.0	2200356.0
BR710	26865904.0	1452200.0	1966022.0
BR711	25065635.0	3203174.0	1766433.0
BR712	16555342.0	8259289.0	2186716.0
BR713	25983780.0	1399759.0	1310450.0
BR714	25484070.0	1384746.0	1239897.0
BR715	23849797.0	1322169.0	1072513.0
BR716	25669082.0	1405111.0	1162075.0
BR717	25390280.0	1344888.0	2094047.0
BR718	30342285.0	1623007.0	2738209.0
BR719	22812171.0	1210905.0	1933713.0
BR720	29040262.0	1621140.0	2240497.0
BR721	24595044.0	1492515.0	1795761.0
BR722	25029928.0	1383814.0	1513983.0
BR723	27029293.0	1563707.0	1468705.0
BR724	24400000.0	1766346.0	1510202.0
BR725	22551648.0	1222333.0	1036052.0
BR726	19690691.0	1120683.0	943934.0
BR727	24555328.0	1359013.0	1385647.0
BR729	22999904.0	1183777.0	1570452.0
BR730	22983224.0	1231047.0	1648364.0
BR731	17787334.0	988631.0	1419453.0
BR732	20670427.0	1100405.0	1548460.0
BR733	18272395.0	863066.0	1211226.0
BR734	24248756.0	1316731.0	1909091.0
BR735	21311036.0	990675.0	1354192.0
BR736	19398402.0	927591.0	1158220.0
BR737	22787068.0	1171022.0	1222375.0
BR738	24735638.0	1474591.0	1219412.0
BR739	17691951.0	856559.0	1037250.0
BR740	17790325.0	855865.0	857226.0
BR741	17394819.0	1428997.0	1392585.0
BR742	21809088.0	2426895.0	2044404.0
BR743	21372750.0	1640069.0	2111941.0
BR744	21936887.0	1077503.0	1956251.0
BR745	19061131.0	1321445.0	1343661.0
BR746	17923114.0	917398.0	1230269.0
BR747	16231128.0	915236.0	1233805.0
BR748	25796478.0	1378187.0	1670934.0
BR749	21743947.0	1215563.0	1128567.0
BR750	18275857.0	1050809.0	1097183.0
BR751	16882965.0	987778.0	970689.0
BR752	14730499.0	2074483.0	880439.0
BR753	20093451.0	1443636.0	1569353.0
BR754	22328025.0	1312643.0	2143661.0
BR755	18203957.0	973002.0	1520761.0
BR756	22576487.0	1107989.0	1931566.0
BR757	19686417.0	925837.0	1704513.0
BR758	20119267.0	949267.0	2138141.0
BR759	18006149.0	888890.0	1910962.0
BR760	18620024.0	919535.0	1774160.0
BR761	18334365.0	851620.0	1110447.0
