Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_5kb	TSS_up_10kb	TES_down_1kb	TES_down_5kb	TES_down_10kb	Other_intergenic
BR701	66445046.0	2641526.0	6281158.0	1534561.0	268194.0	426849.0	522146.0	882984.0	1141674.0	1275743.0	2588083.0
BR702	57981265.0	2326310.0	5156144.0	1136054.0	240462.0	361186.0	428456.0	759881.0	962775.0	1063062.0	2066956.0
BR703	65354196.0	2616417.0	5985861.0	1522180.0	265758.0	416557.0	506871.0	837620.0	1094086.0	1221789.0	2515749.0
BR704	81162374.0	3267225.0	6956620.0	1603596.0	330846.0	498060.0	591695.0	1001878.0	1278229.0	1415901.0	2798027.0
BR705	55467031.0	2238579.0	4581817.0	1156654.0	220629.0	346948.0	419805.0	665114.0	873325.0	977700.0	1988259.0
BR707	73266113.0	2832809.0	6611505.0	1594816.0	283094.0	454215.0	556752.0	972705.0	1265151.0	1411692.0	2790410.0
BR708	56030133.0	2314836.0	4766841.0	1322149.0	227391.0	366026.0	448824.0	695591.0	918965.0	1029133.0	2122545.0
BR709	85202519.0	3249773.0	7809662.0	1826603.0	331341.0	537399.0	660794.0	1154060.0	1543434.0	1735567.0	3553132.0
BR710	71909941.0	2849533.0	6114670.0	1673358.0	289831.0	477724.0	593151.0	869167.0	1178671.0	1337047.0	2808600.0
BR711	63388499.0	2041262.0	7950148.0	1795643.0	255749.0	489238.0	652024.0	1354393.0	2013847.0	2318846.0	5611173.0
BR712	42476802.0	1603997.0	3508538.0	2041681.0	235433.0	595881.0	924124.0	1582390.0	3178248.0	3946638.0	14302795.0
BR713	69223996.0	2701187.0	5960995.0	1372683.0	276654.0	424972.0	507642.0	903106.0	1189143.0	1316481.0	2508030.0
BR714	67475220.0	2631542.0	5782569.0	1428232.0	264577.0	415480.0	501636.0	863567.0	1184099.0	1316546.0	2484087.0
BR715	61824466.0	2355149.0	6092542.0	1446341.0	240590.0	393689.0	483990.0	863028.0	1180706.0	1317964.0	2498842.0
BR716	68394089.0	2641146.0	6298365.0	1451260.0	270057.0	426006.0	513954.0	907539.0	1215863.0	1350980.0	2565130.0
BR717	69542754.0	2727109.0	5521220.0	1303141.0	258950.0	415643.0	503136.0	784565.0	1044361.0	1169174.0	2382412.0
BR718	81395296.0	3103334.0	7557443.0	1802541.0	304152.0	503147.0	620579.0	1044776.0	1400171.0	1569870.0	3074722.0
BR719	61320429.0	2249847.0	5339727.0	1327522.0	218825.0	371342.0	462589.0	727217.0	975498.0	1098661.0	2255427.0
BR720	77969058.0	2976123.0	7010642.0	1743743.0	299082.0	496302.0	617756.0	992909.0	1330991.0	1497348.0	3066760.0
BR721	65256160.0	2575409.0	5590429.0	1413073.0	235882.0	392676.0	487957.0	800963.0	1098045.0	1236316.0	2645732.0
BR722	67814517.0	2664773.0	5816994.0	1403359.0	238589.0	389943.0	480667.0	805111.0	1067665.0	1193878.0	2362225.0
BR723	72438597.0	3002288.0	6234831.0	1637082.0	273360.0	448690.0	554295.0	882336.0	1188890.0	1336833.0	2770972.0
BR724	65232586.0	2627232.0	6037785.0	1589866.0	249352.0	424562.0	534343.0	900529.0	1257351.0	1429989.0	3133980.0
BR725	59955042.0	2402697.0	5007499.0	1181958.0	224436.0	356106.0	435136.0	716944.0	942388.0	1051608.0	2136321.0
BR726	52386548.0	1958318.0	4846579.0	1038556.0	189442.0	300949.0	367946.0	699324.0	946618.0	1044511.0	1902141.0
BR727	66263709.0	2620880.0	5696235.0	1379495.0	245270.0	395544.0	483728.0	811479.0	1107185.0	1236282.0	2449663.0
BR729	62827994.0	2548548.0	5092252.0	1258405.0	231820.0	372039.0	455841.0	726588.0	960087.0	1070414.0	2117035.0
BR730	62452246.0	2439486.0	5682783.0	1539286.0	229482.0	388702.0	484126.0	778363.0	1050577.0	1182428.0	2361860.0
BR731	48593142.0	1774392.0	4158720.0	889437.0	160510.0	262754.0	319536.0	568666.0	752353.0	835663.0	1617142.0
BR732	57026873.0	2141843.0	4789468.0	1061988.0	193950.0	316169.0	385759.0	658802.0	865970.0	966402.0	1919673.0
BR733	48331682.0	1885940.0	4265981.0	917200.0	191927.0	298570.0	358597.0	657133.0	836593.0	921415.0	1725625.0
