Sample	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
BR701	28339371	1125615	25874320	1339436	0	2251230	2251230	0	0	96.03
BR702	23857881	665370	22039297	1153214	0	1330740	1330740	0	0	97.21
BR703	27220801	860975	25050958	1308868	0	1721950	1721950	0	0	96.84
BR704	34111550	1539928	31012470	1559152	0	3079856	3079856	0	0	95.49
BR705	23191028	1445252	20677856	1067920	0	2890504	2890504	0	0	93.77
BR707	30510093	1654150	27421966	1433977	0	3308300	3308300	0	0	94.58
BR708	23815560	1446304	21314050	1055206	0	2892608	2892608	0	0	93.93
BR709	36042272	2200356	31912321	1929595	0	4400712	4400712	0	0	93.9
BR710	30284126	1966022	26865904	1452200	0	3932044	3932044	0	0	93.51
BR711	30035242	1766433	25065635	3203174	0	3532866	3532866	0	0	94.12
BR712	27001347	2186716	16555342	8259289	0	4373432	4373432	0	0	91.9
BR713	28693989	1310450	25983780	1399759	0	2620900	2620900	0	0	95.43
BR714	28108713	1239897	25484070	1384746	0	2479794	2479794	0	0	95.59
BR715	26244479	1072513	23849797	1322169	0	2145026	2145026	0	0	95.91
BR716	28236268	1162075	25669082	1405111	0	2324150	2324150	0	0	95.88
BR717	28829215	2094047	25390280	1344888	0	4188094	4188094	0	0	92.74
BR718	34703501	2738209	30342285	1623007	0	5476418	5476418	0	0	92.11
BR719	25956789	1933713	22812171	1210905	0	3867426	3867426	0	0	92.55
BR720	32901899	2240497	29040262	1621140	0	4480994	4480994	0	0	93.19
BR721	27883320	1795761	24595044	1492515	0	3591522	3591522	0	0	93.56
BR722	27927725	1513983	25029928	1383814	0	3027966	3027966	0	0	94.58
BR723	30061705	1468705	27029293	1563707	0	2937410	2937410	0	0	95.11
BR724	27676548	1510202	24400000	1766346	0	3020404	3020404	0	0	94.54
BR725	24810033	1036052	22551648	1222333	0	2072104	2072104	0	0	95.82
BR726	21755308	943934	19690691	1120683	0	1887868	1887868	0	0	95.66
BR727	27299988	1385647	24555328	1359013	0	2771294	2771294	0	0	94.92
BR729	25754133	1570452	22999904	1183777	0	3140904	3140904	0	0	93.9
BR730	25862635	1648364	22983224	1231047	0	3296728	3296728	0	0	93.63
BR731	20195418	1419453	17787334	988631	0	2838906	2838906	0	0	92.97
BR732	23319292	1548460	20670427	1100405	0	3096920	3096920	0	0	93.36
BR733	20346687	1211226	18272395	863066	0	2422452	2422452	0	0	94.05
BR734	27474578	1909091	24248756	1316731	0	3818182	3818182	0	0	93.05
BR735	23655903	1354192	21311036	990675	0	2708384	2708384	0	0	94.28
BR736	21484213	1158220	19398402	927591	0	2316440	2316440	0	0	94.61
BR737	25180465	1222375	22787068	1171022	0	2444750	2444750	0	0	95.15
BR738	27429641	1219412	24735638	1474591	0	2438824	2438824	0	0	95.55
BR739	19585760	1037250	17691951	856559	0	2074500	2074500	0	0	94.7
BR740	19503416	857226	17790325	855865	0	1714452	1714452	0	0	95.6
BR741	20216401	1392585	17394819	1428997	0	2785170	2785170	0	0	93.11
BR742	26280387	2044404	21809088	2426895	0	4088808	4088808	0	0	92.22
BR743	25124760	2111941	21372750	1640069	0	4223882	4223882	0	0	91.59
BR744	24970641	1956251	21936887	1077503	0	3912502	3912502	0	0	92.17
BR745	21726237	1343661	19061131	1321445	0	2687322	2687322	0	0	93.82
BR746	20070781	1230269	17923114	917398	0	2460538	2460538	0	0	93.87
BR747	18380169	1233805	16231128	915236	0	2467610	2467610	0	0	93.29
BR748	28845599	1670934	25796478	1378187	0	3341868	3341868	0	0	94.21
BR749	24088077	1128567	21743947	1215563	0	2257134	2257134	0	0	95.31
BR750	20423849	1097183	18275857	1050809	0	2194366	2194366	0	0	94.63
BR751	18841432	970689	16882965	987778	0	1941378	1941378	0	0	94.85
BR752	17685421	880439	14730499	2074483	0	1760878	1760878	0	0	95.02
BR753	23106440	1569353	20093451	1443636	0	3138706	3138706	0	0	93.21
BR754	25784329	2143661	22328025	1312643	0	4287322	4287322	0	0	91.69
BR755	20697720	1520761	18203957	973002	0	3041522	3041522	0	0	92.65
BR756	25616042	1931566	22576487	1107989	0	3863132	3863132	0	0	92.46
BR757	22316767	1704513	19686417	925837	0	3409026	3409026	0	0	92.36
BR758	23206675	2138141	20119267	949267	0	4276282	4276282	0	0	90.79
BR759	20806001	1910962	18006149	888890	0	3821924	3821924	0	0	90.82
BR760	21313719	1774160	18620024	919535	0	3548320	3548320	0	0	91.68
BR761	20296432	1110447	18334365	851620	0	2220894	2220894	0	0	94.53
