Sample	pe_sense	pe_antisense	failed
BR701	0.0056	0.957	0.0373
BR702	0.0042	0.9607	0.0351
BR703	0.0055	0.9592	0.0353
BR704	0.0063	0.951	0.0428
BR705	0.0052	0.9563	0.0385
BR707	0.0056	0.9465	0.0479
BR708	0.0063	0.9573	0.0365
BR709	0.0054	0.9318	0.0628
BR710	0.0066	0.9327	0.0607
BR711	0.006	0.9378	0.0562
BR712	0.0038	0.9603	0.0359
BR713	0.0046	0.9495	0.0459
BR714	0.0057	0.9462	0.048
BR715	0.0056	0.9463	0.0482
BR716	0.0054	0.9507	0.0439
BR717	0.0056	0.9481	0.0463
BR718	0.0092	0.932	0.0588
BR719	0.0075	0.9466	0.0459
BR720	0.0081	0.9365	0.0554
BR721	0.0043	0.9593	0.0364
BR722	0.0047	0.9599	0.0354
BR723	0.0056	0.9543	0.0401
BR724	0.0053	0.9586	0.0361
BR725	0.0041	0.9652	0.0307
BR726	0.0038	0.9667	0.0295
BR727	0.0055	0.9544	0.0401
BR729	0.0057	0.9609	0.0334
BR730	0.0065	0.9567	0.0368
BR731	0.0037	0.9669	0.0294
BR732	0.0053	0.9596	0.0352
BR733	0.0042	0.9722	0.0237
BR734	0.0072	0.9606	0.0322
BR735	0.0051	0.963	0.0319
BR736	0.0047	0.9722	0.0231
BR737	0.0043	0.9569	0.0388
BR738	0.0048	0.9619	0.0333
BR739	0.0031	0.9721	0.0249
BR740	0.0034	0.9718	0.0248
BR741	0.0054	0.97	0.0246
BR742	0.0061	0.9607	0.0331
BR743	0.0067	0.96	0.0333
BR744	0.0061	0.9634	0.0305
BR745	0.0036	0.976	0.0205
BR746	0.004	0.9777	0.0184
BR747	0.0053	0.9739	0.0208
BR748	0.0046	0.9685	0.0268
BR749	0.0061	0.9651	0.0287
BR750	0.0043	0.9662	0.0295
BR751	0.0034	0.9762	0.0204
BR752	0.0023	0.9791	0.0185
BR753	0.0053	0.9672	0.0275
BR754	0.0071	0.9658	0.0272
BR755	0.0052	0.9702	0.0246
BR756	0.0067	0.962	0.0313
BR757	0.0058	0.9664	0.0278
BR758	0.0062	0.9665	0.0272
BR759	0.0065	0.9666	0.0269
BR760	0.0067	0.9656	0.0278
BR761	0.0052	0.9627	0.0322
