Module	Section	Sample Name	Source
QualiMap	rna_genome_results	BR704	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR704.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR721	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR721.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR753	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR753.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR729	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR729.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR730	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR730.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR754	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR754.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR712	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR712.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR707	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR707.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR710	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR710.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR734	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR734.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR748	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR748.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR722	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR722.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR723	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR723.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR719	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR719.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR727	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR727.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR720	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR720.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR703	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR703.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR742	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR742.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR701	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR701.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR724	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR724.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR713	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR713.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR709	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR709.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR755	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR755.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR736	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR736.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR732	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR732.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR760	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR760.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR741	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR741.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR705	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR705.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR750	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR750.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR744	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR744.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR717	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR717.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR715	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR715.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR716	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR716.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR718	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR718.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	BR711	/scratch.global/zhoux379/nf/work/94/4509d6db7b875c081c41908392c2e9/qualimap/BR711.sorted/rnaseq_qc_results.txt
